source_type,source_id,source_name,event_id,event_name,page,command_index,code,kind,text
map,1,,66,EXUROOOOSION2,1,0,108,comment,noshadow
map,1,,67,DRAGONPULSE,1,0,108,comment,noshadow
map,1,,68,DRAGONPULSE2,1,0,108,comment,noshadow
map,1,,49,SCIZOR,1,0,108,comment,noshadow
map,1,,2,FLAWLESS 1,1,0,101,show_text,SEXO
map,1,,50,HYPERRAYO 1,1,0,108,comment,noshadow
map,1,,3,FLAWLESS 2,1,0,101,show_text,SEXO
map,1,,3,FLAWLESS 2,2,0,108,comment,noshadow
map,1,,32,LATA,1,0,108,comment,noshadow
map,1,,51,BLAZIKEN,1,0,108,comment,noshadow
map,1,,42,Latias,2,0,108,comment,noshadow
map,1,,14,EV014,1,0,108,comment,noshadow
map,1,,52,SCEPTILE,1,0,108,comment,noshadow
map,1,,43,YENA,1,0,108,comment,noshadow
map,1,,24,EV024,1,0,108,comment,noshadow
map,1,,5,Meteorito evento,1,9,355,script,ChangeSpeed.new.pbChangeSpeed(0)
map,1,,5,Meteorito evento,1,11,355,script,pbCameraToEvent(1)
map,1,,5,Meteorito evento,1,29,101,show_text,"\ts[1]\dxn[Dra.Vega]Yo de vosotros me iría para atrás, mis pequeñas herramientas."
map,1,,5,Meteorito evento,1,39,101,show_text,"\ts[1]\dxn[Dra.Vega]Reportad la situación, ahora."
map,1,,5,Meteorito evento,1,42,101,show_text,"\ts[1]\dxn[Flawless FX-03]El objetivo está muy cerca, madre."
map,1,,5,Meteorito evento,1,44,101,show_text,"\ts[1]\dxn[Flawless FX-04]Según nuestro radar, en menos de 2 minutos llegará."
map,1,,5,Meteorito evento,1,49,101,show_text,"\ts[1]\dxn[Dra.Vega]Parece que vuestra capacidad para detectar objetivos, es perfecta."
map,1,,5,Meteorito evento,1,53,355,script,pbCameraToEvent(1)
map,1,,5,Meteorito evento,1,66,101,show_text,\dxn[Dra.Vega]¡Esto me agita más que la glucosa!
map,1,,5,Meteorito evento,1,74,101,show_text,\sh\dxn[Dra.Vega]¡Poder presenciar este evento es gracias a la ciencia!
map,1,,5,Meteorito evento,1,76,355,script,pbCameraShake(2)
