source_type,source_id,source_name,event_id,event_name,page,command_index,code,kind,text
map,150,,9,Trainer(4),1,0,355,script,pbTrainerIntro(:CHICA)
map,150,,9,Trainer(4),1,1,355,script,pbNoticePlayer(get_character(0))
map,150,,9,Trainer(4),1,2,101,show_text,¿Puedo ver a tus Pokémon?
map,150,,9,Trainer(4),1,7,355,script,pbTrainerEnd
map,150,,9,Trainer(4),2,0,101,show_text,¡Qué fuertes son!
map,150,,47,Slope,1,0,355,script,pbBridgeOff
map,150,,47,Slope,1,1,108,comment,Slope: -2x1
map,150,,47,Slope,1,2,108,comment,Width: 1/2
map,150,,47,Slope,1,3,108,comment,Offset: 16px
map,150,,66,EV066,1,0,108,comment,noshadow
map,150,,19,Evento,1,0,355,script,ChangeSpeed.new.pbChangeSpeed(0)
map,150,,19,Evento,1,17,101,show_text,"\dxn[Darek]¿Qué deberíamos hacer, grovyle?"
map,150,,19,Evento,1,21,101,show_text,\dxn[Darek]¿Crees que es esto lo que nos hace más débiles que el resto?
map,150,,19,Evento,1,32,101,show_text,"\dxn[Darek]Dije que nos centraríamos en ser los más fuertes del mundo, pero... Aquí estoy, intentando ayudar a la profesora Álama."
map,150,,19,Evento,1,36,101,show_text,\dxn[Darek]¿Puede ser que esa afinidad con ella... sea lo que me hace débil?
map,150,,19,Evento,1,45,101,show_text,"\dxn[Darek]Al fin y al cabo, simplemente es perder el tiempo, preocuparse por los demás en vez de mirar por ti. ¿Qué beneficio tiene?"
map,150,,19,Evento,1,77,101,show_text,"\dxn[Darek]Hey \PN, ¿me has seguido la pista o qué?"
map,150,,19,Evento,1,89,101,show_text,"\dxn[Darek]Perdona, ando un poco irascible ahora mismo..."
map,150,,19,Evento,1,93,101,show_text,"\dxn[Darek]En verdad me vienes como Klefki en una cerradura, quisiera preguntarte algo."
map,150,,19,Evento,1,104,101,show_text,\dxn[Darek]Tu que has sido capaz de derrotarme en combates Pokémon... ¿Qué crees que es lo que te hace fuerte?
map,150,,19,Evento,1,114,102,choices,The bonds with my Pokémon
map,150,,19,Evento,1,114,102,choices,The power of friendship
map,150,,19,Evento,1,115,402,choice_branch,The bonds with my Pokémon
map,150,,19,Evento,1,120,101,show_text,\dxn[Darek]¿Cómo? ¿Lazos con tu Pokémon? ¿De qué bobadas estás hablando?
map,150,,19,Evento,1,123,402,choice_branch,The power of friendship
map,150,,19,Evento,1,128,101,show_text,\dxn[Darek]¿El poder de la amistad? ¿De qué bobadas estás hablando?
map,150,,19,Evento,1,135,101,show_text,"\dxn[Darek]Lo que te debe hacer fuerte, son las técnicas que has aprendido durante este tiempo combatiendo, no hay lógica detrás del hecho de ser afín con tu"
map,150,,19,Evento,1,136,401,show_text_cont,Pokémon.
map,150,,19,Evento,1,153,101,show_text,"\dxn[Darek]El caso es que no sé que puede ser... Desde que empecé mi viaje, siento que no es lo que esperaba."
map,150,,19,Evento,1,157,101,show_text,\dxn[Darek]Siento... que esto no es lo que mi corazón buscaba desde un inicio.
map,150,,19,Evento,1,161,101,show_text,\dxn[Darek]Pero entonces...
map,150,,19,Evento,1,165,101,show_text,\dxn[Darek]¿Cuál es mi verdadero \c[2]propósito\c[0]?
map,150,,19,Evento,1,177,101,show_text,\dxn[Darek]Estoy más perdido que un Torchic sin cabeza...
map,150,,19,Evento,1,181,101,show_text,\dxn[Darek]¿Sabes qué vamos a hacer?
map,150,,19,Evento,1,193,101,show_text,"\dxn[Darek]Vamos a combatir, me vas a ayudar a entender qué es lo que me está confundiendo."
map,150,,19,Evento,1,197,101,show_text,"\dxn[Darek]Quiero ver lo mucho que has progresado. ¡Vamos allá, Grovyle!"
map,150,,19,Evento,1,204,101,show_text,\f[grovyle000]¡GROVYLE!
map,150,,19,Evento,1,212,101,show_text,\f[riolu000]¡RIOLU!
map,150,,19,Evento,1,215,101,show_text,\sh\dxn[Darek]¡En guardia!
map,150,,19,Evento,1,222,355,script,"setBattleRule(""backdrop"",""bridge"")"
map,150,,19,Evento,1,223,355,script,"setBattleRule(""base"", ""bridge"")"
map,150,,19,Evento,1,246,101,show_text,\sh\dxn[Darek]P-Pero cómo lo haces?
map,150,,19,Evento,1,250,101,show_text,"\dxn[Darek]Esto es frustrante, siempre estás un peldaño por encima de mi..."
map,150,,19,Evento,1,257,101,show_text,\dxn[Darek]¿Se puede saber qué es lo que hago mal?
map,150,,19,Evento,1,261,101,show_text,\dxn[Darek]No logro entenderlo... ¿Es que simplemente soy un inútil o qué?
map,150,,19,Evento,1,271,102,choices,You should take it easy.
map,150,,19,Evento,1,272,402,choice_branch,You should take it easy.
map,150,,19,Evento,1,285,101,show_text,\sh\dxn[Darek]¡Eso lo dices porque no estás en mi posición!
map,150,,19,Evento,1,300,101,show_text,\dxn[Darek]Vosotros lo tenéis todo... no es justo.
map,150,,19,Evento,1,304,101,show_text,"\dxn[Darek]Ambos parecéis estar por encima de mi, aunque he sido yo el que ha estado tantos años poniéndole tanto empeño en esto."
map,150,,19,Evento,1,309,101,show_text,\dxn[Darek]¿Y para qué? Si ni siquiera siento nada y encima me superáis.
map,150,,19,Evento,1,319,101,show_text,\dxn[\PN](Es realmente raro ver esta faceta de Darek... con lo perfecto que parece ser siempre...)
map,150,,19,Evento,1,330,101,show_text,"\dxn[Darek]En fin... es evidente que Grovyle y yo tenemos que hacernos mucho más fuertes todavía, quizás sea eso."
map,150,,19,Evento,1,338,101,show_text,"\dxn[Darek]Estamos justo a las puertas de Ciudad Cardenal, hay un líder de gimnasio al que retar aquí."
map,150,,19,Evento,1,343,101,show_text,\dxn[Darek]Probablemente sea lo primero que haga.
map,150,,19,Evento,1,346,101,show_text,\sh\dxn[???]¡Antes iré yo!
map,150,,19,Evento,1,368,101,show_text,\dxn[Darek]¿Eda? ¡No me digas que has escuchado todo lo que he dicho!
map,150,,19,Evento,1,376,101,show_text,\dxn[Eda]¡Ya lo creo que sí!
map,150,,19,Evento,1,383,101,show_text,"\sh\dxn[Eda]Ya tendremos una charla tú y yo, realemente creo que tienes un problema."
map,150,,19,Evento,1,388,101,show_text,\dxn[Darek]¡¿P-perdona?!
map,150,,19,Evento,1,394,101,show_text,\dxn[Darek]¡Tu y yo no tenemos nada que hablar!
map,150,,19,Evento,1,401,101,show_text,"\dxn[Darek]Me largo de aquí, tengo cosas que hacer."
map,150,,19,Evento,1,432,102,choices,Aren't you gonna follow him?
map,150,,19,Evento,1,433,402,choice_branch,Aren't you gonna follow him?
