source_type,source_id,source_name,event_id,event_name,page,command_index,code,kind,text
map,173,,85,EV085,1,0,101,show_text,La papelera está vacía.
map,173,,28,Trainer(4),1,0,355,script,pbNoticePlayer(get_character(0))
map,173,,28,Trainer(4),1,1,101,show_text,¡Ya os podéis ir largando de aquí!
map,173,,28,Trainer(4),1,8,355,script,pbTrainerEnd
map,173,,28,Trainer(4),2,0,101,show_text,Pero qué niños tan fuertes...
map,173,,104,EV104,1,0,108,comment,noshadow
map,173,,76,EV076,1,0,101,show_text,"<ac><b>Kabuto: </b>\n<i>Un Pokémon casi extinto. Cada tres días, muda el caparazón, que se va endureciendo de forma progresiva.</i></ac>"
map,173,,57,EV057,1,0,355,script,"pbItemBall(:SODAPOP,5)"
map,173,,57,EV057,2,0,101,show_text,La papelera está vacía.
map,173,,95,EV095,1,0,101,show_text,"El tiempo me hace recordar que en algún momento me convertiré en un saco de huesos, como ellos."
map,173,,86,EV086,1,0,101,show_text,La papelera está vacía.
map,173,,29,Recluta,1,2,101,show_text,"¿Unos críos? Largaros ahora mismo, no sé como habéis entrado, pero no puedo permitir que molestéis a la Comandante."
map,173,,29,Recluta,1,9,355,script,pbTrainerEnd
map,173,,29,Recluta,1,12,101,show_text,No puede estar pasando... ¿Qué van a hacer conmigo cuando se enteren?
map,173,,29,Recluta,1,14,101,show_text,¡Me largo de aquí!
map,173,,67,EV067,1,0,355,script,pbItemBall(:TM103)
map,173,,67,EV067,1,2,355,script,"pbSetSelfSwitch(56,""A"",true)"
map,173,,105,EV105,1,0,108,comment,noshadow
map,173,,58,EV058,1,34,355,script,"pbRemoveDependency2(""Eda"")"
map,173,,58,EV058,1,35,355,script,pbDeregisterPartner
map,173,,58,EV058,1,38,355,script,pbCameraToEvent(31)
map,173,,58,EV058,1,45,101,show_text,"\dxn[Comandante Vesta]Deja de resistirte, me estás haciendo perder el tiempo."
map,173,,58,EV058,1,49,101,show_text,"\dxn[Comandante Vesta]Tú eres un paleontólogo, tienes que saber algo al respecto."
map,173,,58,EV058,1,53,101,show_text,"\dxn[Paleontólogo Donatello]Te lo hemos dicho varias veces, nosotros no podemos saber dónde se esconden."
map,173,,58,EV058,1,55,101,show_text,"\dxn[Paleontólogo Donatello]Sólo aquellas personas de corazón puro, serán capaces de avistarlos."
map,173,,58,EV058,1,64,101,show_text,"\sh\dxn[Comandante Vesta]¡Déjate de bromas, ya me estáis tocando las narices!"
map,173,,58,EV058,1,68,101,show_text,\dxn[Comandante Vesta]¡SALAZZLE!
map,173,,58,EV058,1,73,101,show_text,\f[salazzle000]¡SALAZZLE!
map,173,,58,EV058,1,76,101,show_text,\sh\dxn[???]¡Ni se te ocurra tocarlo!
map,173,,58,EV058,1,90,101,show_text,\dxn[Comandante Vesta]¿¡Quién ha dicho eso!?
map,173,,58,EV058,1,143,101,show_text,\sh\dxn[Comandante Vesta]¿Qu... Qué? ¿Qué haces tú aquí?
map,173,,58,EV058,1,152,101,show_text,\f[riolu010]¡RIOLU!
map,173,,58,EV058,1,155,101,show_text,\f[salazzle001]¡SA...SALAZ...!
map,173,,58,EV058,1,158,101,show_text,\dxn[Comandante Vesta]¿Nos has estado siguiendo o qué te pasa?
map,173,,58,EV058,1,169,101,show_text,\dxn[Eda]Oye \PN. ¿Conoces de algo a esta vieja?
map,173,,58,EV058,1,175,101,show_text,"\sh\dxn[Comandante Vesta]¿Cómo me has llamado, sucia mocosa?"
map,173,,58,EV058,1,183,101,show_text,\dxn[Eda]¡Oh disculpe!
map,173,,58,EV058,1,188,101,show_text,\dxn[Eda]¡Pensaba que esa curvatura en la espalda era por la edad!
map,173,,58,EV058,1,205,101,show_text,\sh\dxn[Comandante Vesta]¡AAAAAH! ¡No puedo más con estos mocosos!
map,173,,58,EV058,1,209,101,show_text,\dxn[Comandante Vesta]¡Me voy a encargar personalmente de vosotros!
map,173,,58,EV058,1,213,101,show_text,"\dxn[Comandante Vesta]¡La última vez, mis Pokémon estaban bastante debilitados! ¡Vas a ver lo que es luchar conmigo desde cero!"
map,173,,58,EV058,1,222,101,show_text,"\sh\dxn[Comandante Vesta]¡Tú, la de mi izquierda! ¡Vamos a partirles la cara a estos críos!"
map,173,,58,EV058,1,225,101,show_text,"\dxn[Recluta F.]¡A la orden, Comandante!"
map,173,,58,EV058,1,240,101,show_text,"\dxn[Comandante Vesta]¡El resto! ¡No dejéis que se escapen esos dos, el interrogatorio no ha terminado!"
map,173,,58,EV058,1,247,355,script,Pokemon.play_cry(:SKUNTANK)
map,173,,58,EV058,1,248,101,show_text,\f[skun000]¡SKUNTANK!
