source_type,source_id,source_name,event_id,event_name,page,command_index,code,kind,text
map,223,,92,EV092,1,0,108,comment,noshadow
map,223,,74,.noshadow,1,0,108,comment,noshadow
map,223,,148,Trainer(2),1,0,355,script,pbNoticePlayer(get_character(0))
map,223,,148,Trainer(2),1,1,101,show_text,¿Vas a leer las lápidas? Antes déjame echar un combatito.
map,223,,148,Trainer(2),1,2,355,script,"setBattleRule(""base"", ""bridge"")"
map,223,,148,Trainer(2),2,0,101,show_text,"Fuerte de corazón, si señor."
map,223,,185,EV185,1,0,108,comment,noshadow
map,223,,93,EV093,1,0,108,comment,noshadow
map,223,,75,.noshadow,1,0,108,comment,noshadow
map,223,,186,EV186,1,0,108,comment,noshadow
map,223,,38,EV038,1,0,108,comment,noshadow
map,223,,38,EV038,1,1,101,show_text,En este árbol se puede sacar madera.
map,223,,38,EV038,1,3,101,show_text,¿Quieres talar algo de leña?
map,223,,38,EV038,1,4,102,choices,Si
map,223,,38,EV038,1,4,102,choices,No
map,223,,38,EV038,1,5,402,choice_branch,Si
map,223,,38,EV038,1,6,101,show_text,¡Usaste el Hacha!
map,223,,38,EV038,1,26,355,script,pbSetEventTime
map,223,,38,EV038,1,28,355,script,pbReceiveItem(:PIEZADELENA)
map,223,,38,EV038,1,35,355,script,"pbReceiveItem(:PIEZADELENA,2)"
map,223,,38,EV038,1,46,355,script,"pbReceiveItem(:PIEZADELENA,3)"
map,223,,38,EV038,1,55,108,comment,Comprobamos todos los casos y hacemos saltar una cosa u otra según eso.
map,223,,38,EV038,1,102,402,choice_branch,No
map,223,,38,EV038,2,0,108,comment,noshadow
map,223,,38,EV038,2,1,101,show_text,En este árbol se puede sacar madera.
map,223,,38,EV038,2,3,101,show_text,¿Quieres talar algo de leña?
map,223,,38,EV038,2,4,102,choices,Si
map,223,,38,EV038,2,4,102,choices,No
map,223,,38,EV038,2,5,402,choice_branch,Si
map,223,,38,EV038,2,6,101,show_text,¡Usaste el Hacha mejorada!
map,223,,38,EV038,2,26,355,script,pbSetEventTime
map,223,,38,EV038,2,27,355,script,"pbReceiveItem(:PIEZADELENA, pbGet(218))"
map,223,,38,EV038,2,28,108,comment,Comprobamos todos los casos y hacemos saltar una cosa u otra según eso.
map,223,,38,EV038,2,75,402,choice_branch,No
map,223,,38,EV038,3,0,101,show_text,"Ya has talado esta parte del árbol, espera hasta mañana."
map,223,,38,EV038,4,1,355,script,"setTempSwitchOn(""A"")"
map,223,,94,EV094,1,0,108,comment,noshadow
map,223,,168,Lápida 5,1,1,108,comment,noshadow
map,223,,168,Lápida 5,2,0,101,show_text,"<ac>""Siempre que veas a la Familia Real, desaparece...""</ac>"
map,223,,205,Trainer(4),1,0,355,script,pbNoticePlayer(get_character(0))
map,223,,205,Trainer(4),1,1,101,show_text,"Noto una fuerte presencia, déjame ver lo fuerte que eres."
map,223,,205,Trainer(4),1,2,355,script,"setBattleRule(""base"", ""bridge"")"
map,223,,205,Trainer(4),2,0,101,show_text,Desprendes un aura muy fuerte...
map,223,,20,Lápida 1,1,1,108,comment,noshadow
map,223,,20,Lápida 1,2,0,101,show_text,"<ac>""Mis recuerdos están desperdigados por este bosque...""</ac>"
map,223,,57,EV057,1,0,108,comment,noshadow
map,223,,57,EV057,1,1,101,show_text,En este árbol se puede sacar madera.
map,223,,57,EV057,1,3,101,show_text,¿Quieres talar algo de leña?
map,223,,57,EV057,1,4,102,choices,Si
map,223,,57,EV057,1,4,102,choices,No
map,223,,57,EV057,1,5,402,choice_branch,Si
map,223,,57,EV057,1,6,101,show_text,¡Usaste el Hacha!
map,223,,57,EV057,1,26,355,script,pbSetEventTime
map,223,,57,EV057,1,28,355,script,pbReceiveItem(:PIEZADELENA)
map,223,,57,EV057,1,35,355,script,"pbReceiveItem(:PIEZADELENA,2)"
