source_type,source_id,source_name,event_id,event_name,page,command_index,code,kind,text
map,269,,5,EV005,1,7,355,script,pbDeregisterPartner
map,269,,5,EV005,1,42,101,show_text,\dxn[Escolta M.]¡Esta va a ser vuestra última prueba!
map,269,,5,EV005,1,44,101,show_text,\sh\dxn[Escolta M.]¡Preparaos!
map,269,,5,EV005,1,47,101,show_text,\dxn[???]\ts[2]¡Dejadlos pasar!
map,269,,5,EV005,1,59,101,show_text,\dxn[Escolta M.]¿P-pero no se suponía que debíamos intentar pararles los pies?
map,269,,5,EV005,1,66,101,show_text,"\dxn[Zurván]Os van a derrotar de todas formas, podéis largaros."
map,269,,5,EV005,1,71,101,show_text,"\dxn[Escolta M.]De acuerdo señor, lo dejamos en sus"
map,269,,5,EV005,1,72,401,show_text_cont,manos.
map,269,,5,EV005,1,95,101,show_text,"\dxn[Zurván]Os siento muy lejos, podéis acercaros."
map,269,,5,EV005,1,110,101,show_text,"\dxn[Lluvia]Espera, \PN. Podria ser una trampa."
map,269,,5,EV005,1,115,101,show_text,"\dxn[Adrián]Espera, \PN. Podria ser una trampa."
map,269,,5,EV005,1,126,101,show_text,"\dxn[Zurván]Si quisiera capturaros, hubiera avisado a los altos mandos de la Familia Real."
map,269,,5,EV005,1,130,101,show_text,"\dxn[Zurván]Sin embargo, no veo a nadie más por aquí."
map,269,,5,EV005,1,136,101,show_text,\dxn[Lluvia]Razón no le falta...
map,269,,5,EV005,1,141,101,show_text,\dxn[Adrián]Razón no le falta...
map,269,,5,EV005,1,156,101,show_text,"\dxn[Lluvia]Perdone, ¿Es usted Zurvan, el líder de gimnasio de Ciudad Mirlo?"
map,269,,5,EV005,1,161,101,show_text,"\dxn[Adrián]Perdone, ¿Es usted Zurvan, el líder de gimnasio de Ciudad Mirlo?"
map,269,,5,EV005,1,168,101,show_text,"\dxn[Zurván]Así es, vosotros debéis ser \PN y Lluvia, ¿me equivoco?"
map,269,,5,EV005,1,171,101,show_text,"\dxn[Zurván]Así es, vosotros debéis ser \PN y Adrián, ¿me equivoco?"
map,269,,5,EV005,1,177,101,show_text,"\dxn[Zurván]Os estaba esperando, sabía que llegaríais a pesar de poner seguridad en la torre."
map,269,,5,EV005,1,181,101,show_text,"\dxn[Zurván]Sin duda fue lo que mis ojos vieron en aquel momento, el destino no se equivoca."
map,269,,5,EV005,1,187,101,show_text,\sh\dxn[Lluvia]¡E-espere un segundo! ¡No estoy entendiendo nada!
map,269,,5,EV005,1,191,101,show_text,"\dxn[Lluvia]¿Cómo sabes nuestros nombres? Y más importante, ¿cómo sabías que llegaríamos hasta aquí?"
map,269,,5,EV005,1,196,101,show_text,\sh\dxn[Adrián]¡E-espere un segundo! ¡No estoy entendiendo nada!
map,269,,5,EV005,1,200,101,show_text,"\dxn[Adrián]¿Cómo sabes nuestros nombres? Y más importante, ¿cómo sabías que llegaríamos hasta aquí?"
map,269,,5,EV005,1,211,101,show_text,\dxn[Zurván]Hmm... ¿Por dónde debería empezar?
map,269,,5,EV005,1,218,101,show_text,\dxn[Zurván]¿Sabéis porque la Familia Real es tan importante en la región de Akebia?
map,269,,5,EV005,1,223,101,show_text,\dxn[Lluvia]Ellos son la mayor potencia militar de la región de Akebia. No hay nadie que pueda derrotarlos.
map,269,,5,EV005,1,228,101,show_text,\dxn[Adrián]Ellos son la mayor potencia militar de la región de Akebia. No hay nadie que pueda derrotarlos.
map,269,,5,EV005,1,234,101,show_text,\dxn[Zurván]¿Y si os dijera que el poder de la Familia Real no es tan grande como creéis?
map,269,,5,EV005,1,240,101,show_text,"\dxn[Lluvia]Pero... ¿Por qué no han sido sacados del poder, entonces?"
map,269,,5,EV005,1,245,101,show_text,"\dxn[Adrián]Pero... ¿Por qué no han sido sacados del poder, entonces?"
map,269,,5,EV005,1,254,101,show_text,"\dxn[Zurván]La verdadera amenaza no es la Familia Real en sí, sino \c[2]Arceus\c[0] y los dioses de \c[2]Celestia\c[0]."
map,269,,5,EV005,1,260,101,show_text,\dxn[Lluvia]¿Celestia? ¿El Reino de los Cielos del que se habla en algunos libros antiguos?
map,269,,5,EV005,1,264,101,show_text,\dxn[Lluvia]¿Quieres decir que deberíamos basarnos en un relato que ni siquiera es fiable?
map,269,,5,EV005,1,269,101,show_text,\dxn[Adrián]¿Celestia? ¿El Reino de los Cielos del que se habla en algunos libros antiguos?
map,269,,5,EV005,1,273,101,show_text,\dxn[Adrián]¿Quieres decir que deberíamos basarnos en un relato que ni siquiera es fiable?
map,269,,5,EV005,1,282,101,show_text,\dxn[Zurván]Hmm... ¿Conocéis la historia de \c[2]Ciudad Zorzal\c[0]?
map,269,,5,EV005,1,288,101,show_text,"\dxn[Lluvia]Es aquella ciudad que fue destruida porque rechazaron la ocupación de la Familia Real, ¿verdad?"
map,269,,5,EV005,1,293,101,show_text,"\dxn[Adrián]Es aquella ciudad que fue destruida porque rechazaron la ocupación de la Familia Real, ¿verdad?"
map,269,,5,EV005,1,299,101,show_text,"\dxn[Zurván]Así es. La Familia Real fue capaz de acabar con el reinado de Ciudad Zorzal, pero fue por culpa de \c[2]Rayquaza.\c[0]"
map,269,,5,EV005,1,305,101,show_text,\dxn[Lluvia]¿Rayquaza?
map,269,,5,EV005,1,310,101,show_text,\dxn[Adrián]¿Rayquaza?
map,269,,5,EV005,1,319,101,show_text,\dxn[Zurván]Se trata de un Pokémon legendario que venera por la protección de la capa de ozono de nuestro planeta y controla el clima.
map,269,,5,EV005,1,323,101,show_text,"\dxn[Zurván]¿Porqué creéis que alguien como Rayquaza que venera por el bienestar de nuestro planeta, haría algo como eso?"
map,269,,5,EV005,1,329,101,show_text,\dxn[Lluvia]Hmm...
map,269,,5,EV005,1,334,101,show_text,\dxn[Adrián]Hmm...
map,269,,5,EV005,1,343,101,show_text,\sh\dxn[Lluvia]¡Espera un segundo! ¡¿Insinúas que fue el mismísimo dios Arceus quien se lo ordenó?
map,269,,5,EV005,1,348,101,show_text,\sh\dxn[Adrián]¡Espera un segundo! ¡¿Insinúas que fue el mismísimo dios Arceus quien se lo ordenó?
map,269,,5,EV005,1,357,101,show_text,"\dxn[Zurván]Ni lo niego ni lo desmiento, pero está claro que Arceus no está en sus cabales."
map,269,,5,EV005,1,361,101,show_text,"\dxn[Zurván]Ahora mismo estamos en la azotea de la Torre Celestial, donde Rayquaza descansa."
map,269,,5,EV005,1,365,101,show_text,"\dxn[Zurván]Sin embargo, hace más de una década que no aparece por estos lares."
map,269,,5,EV005,1,372,101,show_text,"\dxn[Zurván]Para enlazar todo esto, debo remontarme a hace más de 10 años."
map,269,,5,EV005,1,376,101,show_text,"\dxn[Zurván]Para entonces, yo sólo era un niño peculiar, soy ciego de nacimiento."
map,269,,5,EV005,1,380,101,show_text,"\dxn[Zurván]Aunque esa no es la única peculiaridad de mis ojos, también tengo la capacidad de predecir el futuro gracias a ellos."
map,269,,5,EV005,1,386,101,show_text,\sh\dxn[Lluvia]¡¿El futuro?! ¡¿Cómo es eso posible?!
map,269,,5,EV005,1,391,101,show_text,\sh\dxn[Adrián]¡¿El futuro?! ¡¿Cómo es eso posible?!
map,269,,5,EV005,1,399,101,show_text,\dxn[Lluvia]¡Claro! ¡Por eso supiste que vendríamos a Pueblo Mirlo!
map,269,,5,EV005,1,404,101,show_text,\dxn[Adrián]¡Claro! ¡Por eso supiste que vendríamos a Pueblo Mirlo!
map,269,,5,EV005,1,413,101,show_text,"\dxn[Zurván]Normalmente se trata de pequeñas visiones, y no puedo verlo todo."
map,269,,5,EV005,1,417,101,show_text,"\dxn[Zurván]Lo que tienen siempre en común, es que todas ellas aciertan."
map,269,,5,EV005,1,424,101,show_text,"\dxn[Zurván]Un día tuve una visión de un enorme Pokémon volando y destruyéndolo todo, acompañado de unos hombres que bajaban junto a él."
map,269,,5,EV005,1,428,101,show_text,"\dxn[Zurván]Avisé al poblado y dije que debíamos someternos, o el poblado sería destruido. Sin embargo, no me tomaron muy en serio."
map,269,,5,EV005,1,435,101,show_text,"\dxn[Zurván]Hasta que realmente sucedió, vimos con nuestros propios ojos cómo llegaron de verdad."
map,269,,5,EV005,1,439,101,show_text,"\dxn[Zurván]Automáticamente recordaron mis palabras, y nos rendimos al instante."
map,269,,5,EV005,1,444,101,show_text,\dxn[Lluvia]Entonces... ¿Evitaste la catástrofe?
map,269,,5,EV005,1,449,101,show_text,\dxn[Adrián]Entonces... ¿Evitaste la catástrofe?
map,269,,5,EV005,1,455,101,show_text,\dxn[Zurván]Ahí es a donde quiero llegar.
map,269,,5,EV005,1,459,101,show_text,"\dxn[Zurván]A pesar de que Pueblo Mirlo se salvó de la destrucción, mi visión no iba atada a esta."
map,269,,5,EV005,1,463,101,show_text,"\dxn[Zurván]En consecuencia, ocurrió algo distinto."
