source_type,source_id,source_name,event_id,event_name,page,command_index,code,kind,text
map,299,,18,Trainer3,1,0,101,show_text,\dxn[Salvaje F.]Verás la que te cae.
map,299,,55,EV055,1,0,355,script,"pbRemoveDependency2(""FollowerPkmn"")"
map,299,,55,EV055,1,1,355,script,$Trainer.has_running_shoes = false
map,299,,55,EV055,2,0,355,script,"pbRemoveDependency2(""FollowerPkmn"")"
map,299,,55,EV055,2,1,355,script,$Trainer.has_running_shoes = false
map,299,,55,EV055,3,0,355,script,"pbRemoveDependency2(""FollowerPkmn"")"
map,299,,55,EV055,3,1,355,script,$Trainer.has_running_shoes = false
map,299,,92,EV092,1,0,355,script,Pokemon.play_cry(:CHANSEY)
map,299,,92,EV092,1,1,101,show_text,"Parece que Chansey puede curar a tus Pokémon, ¿quieres curarlos?"
map,299,,92,EV092,1,2,102,choices,Yep
map,299,,92,EV092,1,2,102,choices,No
map,299,,92,EV092,1,3,402,choice_branch,Yep
map,299,,92,EV092,1,8,402,choice_branch,No
map,299,,129,EV129,1,0,108,comment,noshadow
map,299,,37,EV037,1,0,355,script,"pbRemoveDependency2(""FollowerPkmn"")"
map,299,,37,EV037,1,1,355,script,$Trainer.has_running_shoes = false
map,299,,37,EV037,2,0,355,script,"pbRemoveDependency2(""FollowerPkmn"")"
map,299,,37,EV037,2,1,355,script,$Trainer.has_running_shoes = false
map,299,,37,EV037,3,0,355,script,"pbRemoveDependency2(""FollowerPkmn"")"
map,299,,37,EV037,3,1,355,script,$Trainer.has_running_shoes = false
map,299,,74,EV074,1,0,355,script,"pbRemoveDependency2(""FollowerPkmn"")"
map,299,,74,EV074,1,1,355,script,$Trainer.has_running_shoes = false
map,299,,74,EV074,2,0,355,script,"pbRemoveDependency2(""FollowerPkmn"")"
map,299,,74,EV074,2,1,355,script,$Trainer.has_running_shoes = false
map,299,,74,EV074,3,0,355,script,"pbRemoveDependency2(""FollowerPkmn"")"
map,299,,74,EV074,3,1,355,script,$Trainer.has_running_shoes = false
map,299,,111,EV111,1,0,108,comment,noshadow
map,299,,148,EV148,1,0,108,comment,noshadow
