source_type,source_id,source_name,event_id,event_name,page,command_index,code,kind,text
map,314,,18,EV018,1,0,108,comment,noshadow
map,314,,55,A1,1,4,355,script,$Trainer.has_running_shoes = true
map,314,,55,A1,1,5,355,script,"pbAddDependency2(001, ""FollowerPkmn"", FollowingPkmn::FOLLOWER_COMMON_EVENT)"
map,314,,55,A1,2,4,355,script,$Trainer.has_running_shoes = true
map,314,,55,A1,2,5,355,script,"pbAddDependency2(001, ""FollowerPkmn"", FollowingPkmn::FOLLOWER_COMMON_EVENT)"
map,314,,55,A1,3,4,355,script,$Trainer.has_running_shoes = true
map,314,,55,A1,3,5,355,script,"pbAddDependency2(001, ""FollowerPkmn"", FollowingPkmn::FOLLOWER_COMMON_EVENT)"
map,314,,92,EV092,1,0,355,script,"pbRemoveDependency2(""FollowerPkmn"")"
map,314,,92,EV092,1,1,355,script,$Trainer.has_running_shoes = false
map,314,,92,EV092,2,0,355,script,"pbRemoveDependency2(""FollowerPkmn"")"
map,314,,92,EV092,2,1,355,script,$Trainer.has_running_shoes = false
map,314,,92,EV092,3,0,355,script,"pbRemoveDependency2(""FollowerPkmn"")"
map,314,,92,EV092,3,1,355,script,$Trainer.has_running_shoes = false
map,314,,129,EV129,1,0,355,script,pbItemBall(:MAXREVIVE)
map,314,,37,EV037,1,0,108,comment,noshadow
map,314,,74,A1,1,4,355,script,$Trainer.has_running_shoes = true
map,314,,74,A1,1,5,355,script,"pbAddDependency2(001, ""FollowerPkmn"", FollowingPkmn::FOLLOWER_COMMON_EVENT)"
map,314,,74,A1,2,4,355,script,$Trainer.has_running_shoes = true
map,314,,74,A1,2,5,355,script,"pbAddDependency2(001, ""FollowerPkmn"", FollowingPkmn::FOLLOWER_COMMON_EVENT)"
map,314,,74,A1,3,4,355,script,$Trainer.has_running_shoes = true
map,314,,74,A1,3,5,355,script,"pbAddDependency2(001, ""FollowerPkmn"", FollowingPkmn::FOLLOWER_COMMON_EVENT)"
map,314,,111,EV111,1,0,355,script,"pbRemoveDependency2(""FollowerPkmn"")"
map,314,,111,EV111,1,1,355,script,$Trainer.has_running_shoes = false
map,314,,111,EV111,2,0,355,script,"pbRemoveDependency2(""FollowerPkmn"")"
map,314,,111,EV111,2,1,355,script,$Trainer.has_running_shoes = false
map,314,,111,EV111,3,0,355,script,"pbRemoveDependency2(""FollowerPkmn"")"
map,314,,111,EV111,3,1,355,script,$Trainer.has_running_shoes = false
map,314,,56,A1,1,4,355,script,$Trainer.has_running_shoes = true
map,314,,56,A1,1,5,355,script,"pbAddDependency2(001, ""FollowerPkmn"", FollowingPkmn::FOLLOWER_COMMON_EVENT)"
map,314,,56,A1,2,4,355,script,$Trainer.has_running_shoes = true
