source_type,source_id,source_name,event_id,event_name,page,command_index,code,kind,text
map,347,,18,EV018,1,0,355,script,pbBridgeOn
map,347,,55,EV055,1,0,355,script,pbItemBall(:STARDUST)
map,347,,37,Slope,1,0,108,comment,Slope: 2x1
map,347,,37,Slope,1,1,108,comment,Width: 1/2
map,347,,37,Slope,1,2,108,comment,Offset: 16px
map,347,,111,EV111,1,0,108,comment,noshadow
map,347,,56,Trainer(3),1,26,101,show_text,"¡RasenShuriken, Greninja!"
map,347,,56,Trainer(3),1,29,355,script,"setBattleRule(""base"", ""bridge"")"
map,347,,56,Trainer(3),2,0,101,show_text,"En los animes siempre ganan, ¿porqué he perdido?"
map,347,,93,EV093,1,0,101,show_text,"<ac>Ruta 17: ¡Mucha lluvia, cuidado no te resbales!"
map,347,,19,EV019,1,0,355,script,pbBridgeOn
map,347,,75,EV075,1,0,355,script,Pokemon.play_cry(:LOTAD)
map,347,,112,EV112,1,0,108,comment,noshadow
map,347,,38,Slope,1,0,108,comment,Slope: 2x1
map,347,,38,Slope,1,1,108,comment,Width: 0/2
map,347,,38,Slope,1,2,108,comment,Offset: 16px
map,347,,94,EV094,1,0,101,show_text,"<ac>Ruta 17: ¡Mucha lluvia, cuidado no te resbales!"
map,347,,20,EV020,1,0,355,script,pbBridgeOn
map,347,,57,Trainer(3),1,14,101,show_text,"¡Técnica ninja! No te lo esperabas, ¿verdad?"
map,347,,57,Trainer(3),1,17,355,script,"setBattleRule(""base"", ""bridge"")"
map,347,,57,Trainer(3),2,0,101,show_text,Tengo que mejorar mi camuflaje.
map,347,,113,EV113,1,0,108,comment,noshadow
map,347,,2,EV002,1,0,355,script,pbItemBall(:REVIVE)
map,347,,39,Slope,1,0,108,comment,Slope: -2x-1
map,347,,39,Slope,1,1,108,comment,Width: 1/2
map,347,,39,Slope,1,2,108,comment,Offset: 16px
map,347,,76,EV076,1,0,355,script,Pokemon.play_cry(:LOTAD)
map,347,,21,EV021,1,0,355,script,pbItemBall(:TM57)
map,347,,58,EV058,1,0,101,show_text,"¿Qué sentido tiene seguir viviendo sin poder hacer mi broma de ""Te enseño mi Onix""?"
map,347,,58,EV058,1,3,102,choices,"Come on, say your piece."
map,347,,58,EV058,1,3,102,choices,What a pain.
map,347,,58,EV058,1,4,402,choice_branch,"Come on, say your piece."
map,347,,58,EV058,1,7,101,show_text,En... ¡¿En serio?!
map,347,,58,EV058,1,9,101,show_text,Entonces... ¿Quieres que te enseñe mi Onix?
map,347,,58,EV058,1,10,355,script,"setBattleRule(""base"", ""bridge"")"
map,347,,58,EV058,1,18,101,show_text,¡Gracias por tal satisfacción! Toma esto para tu aventura.
map,347,,58,EV058,1,19,355,script,pbReceiveItem(:HARDSTONE)
map,347,,58,EV058,1,22,402,choice_branch,What a pain.
map,347,,58,EV058,1,23,101,show_text,Así no me ayudas...
map,347,,58,EV058,2,0,101,show_text,¡Gracias por tal satisfacción! Sigue haciendo feliz a los montañeros.
map,347,,95,EV095,1,0,101,show_text,"<ac>Ruta 17: ¡Mucha lluvia, cuidado no te resbales!"
map,347,,3,EV003,1,0,355,script,pbItemBall(:MAXELIXIR)
map,347,,40,Slope,1,0,108,comment,Slope: -2x-1
map,347,,40,Slope,1,1,108,comment,Width: 0/2
map,347,,40,Slope,1,2,108,comment,Offset: 16px
map,347,,77,EV077,1,0,355,script,Pokemon.play_cry(:LOTAD)
map,347,,114,EV114,1,0,108,comment,noshadow
map,347,,22,EV022,1,0,355,script,pbItemBall(:THUNDERSTONE)
map,347,,59,EV059,1,0,101,show_text,"Dicen que si sigues la corriente de estas aguas, llegarás a un lugar donde alguna vez se ha visto un Pokémon que parecía el personaje ese de la TV que volaba en"
map,347,,59,EV059,1,1,401,show_text_cont,una nube.
map,347,,96,EV096,1,0,101,show_text,"<ac>Ruta 17: ¡Mucha lluvia, cuidado no te resbales!"
map,347,,4,EV004,1,0,355,script,pbItemBall(:DAMPROCK)
map,347,,41,Slope,1,0,108,comment,Slope: 2x1
map,347,,41,Slope,1,1,108,comment,Width: 1/2
map,347,,41,Slope,1,2,108,comment,Offset: 16px
map,347,,78,EV078,1,0,355,script,Pokemon.play_cry(:LOTAD)
map,347,,115,EV115,1,0,108,comment,noshadow
map,347,,23,EV023,1,0,355,script,pbItemBall(:RAZORCLAW)
map,347,,60,EV060,1,0,101,show_text,Casi me caigo al agua...
map,347,,60,EV060,1,2,101,show_text,¿A quién se le ocurre poner un camino tan estrecho para pasar de un lado al otro?
map,347,,97,Cave entrance,1,4,355,script,"$game_screen.weather(:None,0,0)"
map,347,,97,Cave entrance,1,6,355,script,pbCaveEntrance
