source_type,source_id,source_name,event_id,event_name,page,command_index,code,kind,text
map,605,,22,PARED,2,0,108,comment,noshadow
map,605,,23,SOMBRERO,1,0,108,comment,noshadow
map,605,,12,ANTORCHA,1,0,108,comment,noshadow
map,605,,7,EV007,1,0,108,comment,noshadow
map,605,,18,EV018,1,0,355,script,pbCameraShake(12)
map,605,,18,EV018,1,16,355,script,pbCameraShakeOff
map,605,,18,EV018,1,18,355,script,pbCameraShake(12)
map,605,,18,EV018,1,19,355,script,"pbZoomMap(1,0.5,zoom=""out"")"
map,605,,13,PARED REVENTAR,1,0,108,comment,noshadow
map,605,,8,,1,3,355,script,ChangeSpeed.new.pbChangeSpeed(0)
map,605,,8,,1,4,355,script,"pbSwitchCharacter(4,""Edward"",1)"
map,605,,8,,1,6,355,script,"pbRegisterPartner(:POKEMONTRAINER_Seker,""Darek"",4)"
map,605,,8,,1,9,355,script,"pbRegisterPartner(:POKEMONTRAINER_Seker,""Darek"",3)"
map,605,,8,,1,13,355,script,for i in (0...$Trainer.party.length)
map,605,,8,,1,14,655,script_cont,if $Trainer.party[i].species == :RAIKOU
map,605,,8,,1,15,655,script_cont,pbRemovePokemonAt(i)
map,605,,8,,1,16,655,script_cont,break
map,605,,8,,1,17,655,script_cont,end
map,605,,8,,1,18,655,script_cont,end
map,605,,8,,1,23,355,script,pbCameraToEvent(2)
map,605,,8,,1,24,355,script,"pbZoomMap(2,0.5,zoom=""in"")"
map,605,,8,,1,32,355,script,pbCameraShake(5)
map,605,,8,,1,48,355,script,"pbZoomMap(1,0.3,zoom=""out"")"
map,605,,8,,1,50,355,script,pbCameraShakeOff
map,605,,8,,1,51,355,script,Pokemon.play_cry(:TOGEKISS)
map,605,,8,,1,52,101,show_text,\f[togekiss_003]Kiss...
map,605,,8,,1,56,101,show_text,\sh\dxn[Álama]¡To...Togekiss!
map,605,,8,,1,66,101,show_text,\dxn[Henry]Es vergonzoso... Con más de 20 años y todavía te tiemblan las manos al combatir.
map,605,,8,,1,70,101,show_text,"\ts[1]\dxn[Henry]Eres la deshonra de la familia, Lilith."
map,605,,8,,1,75,101,show_text,\sh\dxn[Henry]¡No mereces tener la sangre de los dioses!
map,605,,8,,1,79,101,show_text,"\sh\dxn[Henry]¡Bisharp, córtale la cabeza!"
map,605,,8,,1,82,101,show_text,\f[bisharp000]¡Sharp!
map,605,,8,,1,83,355,script,pbCameraToEvent(3)
map,605,,8,,1,89,101,show_text,"\sh\dxn[Darek]¡Ni se te ocurra tocarla, maldito!"
map,605,,8,,1,91,355,script,"pbZoomMap(2,0.5,zoom=""in"")"
map,605,,8,,1,92,108,comment,// Poner animación ojos y manos
map,605,,8,,1,104,355,script,pbCameraShake(4)
map,605,,8,,1,107,355,script,pbCameraShakeOff
map,605,,8,,1,110,355,script,"pbZoomMap(1,0.3,zoom=""out"")"
map,605,,8,,1,113,101,show_text,"\sh\dxn[Darek]¡Demonios, no puedo moverme!"
map,605,,8,,1,115,355,script,pbCameraToEvent(6)
map,605,,8,,1,125,101,show_text,"\f[psyduck006]¡Psy, psy!"
map,605,,8,,1,128,355,script,pbCameraToEvent(5)
map,605,,8,,1,134,108,comment,// Efecto luz desde fuera
map,605,,8,,1,136,355,script,"pbCameraScrollTo(28,15)"
map,605,,8,,1,138,101,show_text,"\sh\dxn[???]¡Adelante, compañero!"
map,605,,8,,1,146,355,script,"pbZoomMap(2,0.5,zoom=""in"")"
map,605,,8,,1,149,355,script,pbCameraToEvent(11)
map,605,,8,,1,177,355,script,Pokemon.play_cry(:GALLADE)
map,605,,8,,1,180,355,script,pbCameraShake(5)
map,605,,8,,1,182,355,script,pbCameraShakeOff
map,605,,8,,1,183,355,script,"pbZoomMap(1,0.3,zoom=""out"")"
map,605,,8,,1,184,355,script,pbCameraToEvent(4)
map,605,,8,,1,191,101,show_text,\dxn[Henry]¡Ese... Ese es!
map,605,,8,,1,195,101,show_text,\sh\dxn[Henry]¡Es el Mega Gallade de Edward!
map,605,,8,,1,197,355,script,pbCameraToEvent(11)
map,605,,8,,1,198,355,script,"pbZoomMap(2,0.5,zoom=""in"")"
map,605,,8,,1,219,355,script,"pbZoomMap(1.5,0.5,zoom=""out"")"
map,605,,8,,1,220,355,script,pbCameraShake(9)
