source_type,source_id,source_name,event_id,event_name,page,command_index,code,kind,text
map,691,,18,"Volcan, size(2,1) Update",1,0,108,comment,noshadow
map,691,,55,"Volcan, size(2,1) Update",1,0,108,comment,noshadow
map,691,,92,"Volcan, size(2,1) Update",1,0,108,comment,noshadow
map,691,,129,EV129,1,0,108,comment,noshadow
map,691,,166,EV166,1,0,101,show_text,Necesitas algo para poder escalar y descender montañas.
map,691,,166,EV166,2,0,101,show_text,¿Quieres usar el kit de escalada?
map,691,,166,EV166,2,1,102,choices,Si
map,691,,166,EV166,2,1,102,choices,No
map,691,,166,EV166,2,2,402,choice_branch,Si
map,691,,166,EV166,2,3,355,script,FollowingPkmn.toggle_off
map,691,,166,EV166,2,46,355,script,FollowingPkmn.toggle_on
map,691,,166,EV166,2,48,402,choice_branch,No
map,691,,37,EV037,1,0,108,comment,noshadow
map,691,,74,EV074,1,0,108,comment,noshadow
map,691,,111,"Volcan, size(2,1) Update",1,0,108,comment,noshadow
map,691,,148,Slope,1,0,108,comment,Slope: 3x-2
map,691,,148,Slope,1,1,108,comment,Width: 0/2
map,691,,148,Slope,1,2,108,comment,Offset: 16px
map,691,,185,loquesea,1,0,355,script,pbEncounter(:Land)
map,691,,56,"Volcan, size(2,1) Update",1,0,108,comment,noshadow
map,691,,93,EV093,1,0,101,show_text,Parece que la roca se puede romper. ¿Quieres usar
map,691,,93,EV093,1,1,401,show_text_cont,<b>Palmeo</b>?
map,691,,93,EV093,1,2,102,choices,Si
map,691,,93,EV093,1,2,102,choices,No
map,691,,93,EV093,1,3,402,choice_branch,Si
map,691,,93,EV093,1,5,101,show_text,¡Has usado <b>Palmeo</b>!
map,691,,93,EV093,1,24,402,choice_branch,No
map,691,,130,EV130,1,0,108,comment,noshadow
map,691,,167,EV167,1,0,101,show_text,Necesitas algo para poder escalar y descender montañas.
map,691,,167,EV167,2,0,101,show_text,¿Quieres usar el kit de escalada?
map,691,,167,EV167,2,1,102,choices,Si
map,691,,167,EV167,2,1,102,choices,No
map,691,,167,EV167,2,2,402,choice_branch,Si
map,691,,167,EV167,2,3,355,script,FollowingPkmn.toggle_off
map,691,,167,EV167,2,46,355,script,FollowingPkmn.toggle_on
map,691,,167,EV167,2,48,402,choice_branch,No
map,691,,75,EV075,1,0,108,comment,noshadow
map,691,,112,"Volcan, size(2,1) Update",1,0,108,comment,noshadow
map,691,,149,Slope,1,0,108,comment,Slope: -3x2
map,691,,149,Slope,1,1,108,comment,Width: 1/2
map,691,,149,Slope,1,2,108,comment,Offset: 16px
map,691,,186,loquesea,1,0,355,script,pbEncounter(:Land)
map,691,,1,EV001,1,6,355,script,Pokemon.play_cry(:GIMMIGHOUL)
map,691,,1,EV001,1,9,355,script,"setBattleRule(""base"", ""bridge"")"
map,691,,1,EV001,1,10,355,script,"pbWildBattle(:GIMMIGHOUL, 65)"
map,691,,1,EV001,1,11,355,script,pbSetEventTime
map,691,,1,EV001,1,15,101,show_text,Parece que ha soltado una extraña moneda...
map,691,,1,EV001,1,16,355,script,pbReceiveItem(:GOLD)
map,691,,1,EV001,3,1,355,script,"setTempSwitchOn(""A"")"
