source_type,source_id,source_name,event_id,event_name,page,command_index,code,kind,text
map,698,,18,EV018,1,0,101,show_text,¡Bienvenido/a a la Granja de \PN!
map,698,,18,EV018,1,2,101,show_text,"¿Necesitas información de algún apartado?\ch[1,-1,Huerto,Árboles,Corral,Cuadra,Casa,Lago Shiny,Cueva de Setas,Paneles de Miel]"
map,698,,18,EV018,1,8,101,show_text,En el huerto podrás plantar bayas y semillas.
map,698,,18,EV018,1,10,101,show_text,"Cada semilla tiene diferentes días de crecimiento, generalmente entre 2-4 días. Además, debe ser regada por primera vez y acelera su crecimiento."
map,698,,18,EV018,1,12,101,show_text,"Además, al cosecharlas pueden dropear de 1-5 frutos."
map,698,,18,EV018,1,14,101,show_text,¡Recuerda cuidar de tus plantas!
map,698,,18,EV018,1,18,101,show_text,"Los árboles se pueden talar todos los días, al igual que otros que puedes encontrar por el mundo."
map,698,,18,EV018,1,22,101,show_text,El Corral permite tener Pokémnon de Granja.
map,698,,18,EV018,1,24,101,show_text,Los Pokémon de la Granja se pueden comprar en la Tienda de la Ruta 21.
map,698,,18,EV018,1,26,101,show_text,Solo se puede comprar un Pokémon de Granja de cada tipo.
map,698,,18,EV018,1,28,101,show_text,"Los Pokémon generalmente sueltan objetos en el Corral cada día, otros deben ser muñidos, como Miltank o Skiddo."
map,698,,18,EV018,1,30,101,show_text,"Además, deberán ser alimentados por \c[2]Heno\c[0], que se puede comprar en la tienda."
map,698,,18,EV018,1,32,101,show_text,Un Pokémon de Granja \c[2]consume 1 unidad de Heno al día\c[0].
map,698,,18,EV018,1,34,101,show_text,"Si los Pokémon no tienen comida, no generarán dichos objetos hasta que puedan comer y se generarán al día siguiente."
map,698,,18,EV018,1,36,101,show_text,Todos los objetos mencionados se puede comprar en la Tienda de la Ruta 21.
map,698,,18,EV018,1,40,101,show_text,"La cuadra permite tener Pokemonturas, sin esto no podrás comprarlas ni usarlas."
map,698,,18,EV018,1,42,101,show_text,Las Pokemonturas se pueden comprar en la tienda de la Ruta 21.
map,698,,18,EV018,1,46,101,show_text,La casa permite guardar punto de inicio y curar a tus Pokémon desde la cama.
map,698,,18,EV018,1,48,101,show_text,"Además, podrás casarte en dicha casa y posiblemente tener hijos en un futuro (?)"
map,698,,18,EV018,1,50,101,show_text,"Hay ciertas partes de la casa que son decorables, con el Ekans Game de dicha casa, podrás canjear dichas decoraciones."
map,698,,18,EV018,1,54,101,show_text,El Lago Shiny permite encontrar a Pokémon con el doble de probabilidad de que salga Shiny.
map,698,,18,EV018,1,56,101,show_text,¡Buena suerte!
map,698,,18,EV018,1,60,101,show_text,"La Cueva de Setas genera de manera aleatoria 3 tipos de Setas, con diferente probabilidad cada una."
map,698,,18,EV018,1,62,101,show_text,"Puedes encontrar Mini Seta, Seta Grande o Seta Aroma."
map,698,,18,EV018,1,66,101,show_text,"Los paneles de miel se regeneran cada día, sin más."
map,698,,92,EV092,1,0,108,comment,noshadow
map,698,,92,EV092,1,1,101,show_text,En este árbol se puede sacar madera.
map,698,,92,EV092,1,3,101,show_text,¿Quieres talar algo de leña?
map,698,,92,EV092,1,4,102,choices,Si
map,698,,92,EV092,1,4,102,choices,No
map,698,,92,EV092,1,5,402,choice_branch,Si
map,698,,92,EV092,1,6,101,show_text,¡Usaste el Hacha!
map,698,,92,EV092,1,26,355,script,pbSetEventTime
map,698,,92,EV092,1,28,355,script,pbReceiveItem(:PIEZADELENA)
map,698,,92,EV092,1,35,355,script,"pbReceiveItem(:PIEZADELENA,2)"
map,698,,92,EV092,1,46,355,script,"pbReceiveItem(:PIEZADELENA,3)"
map,698,,92,EV092,1,55,108,comment,Comprobamos todos los casos y hacemos saltar una cosa u otra según eso.
map,698,,92,EV092,1,102,402,choice_branch,No
map,698,,92,EV092,2,0,108,comment,noshadow
map,698,,92,EV092,2,1,101,show_text,En este árbol se puede sacar madera.
map,698,,92,EV092,2,3,101,show_text,¿Quieres talar algo de leña?
map,698,,92,EV092,2,4,102,choices,Si
map,698,,92,EV092,2,4,102,choices,No
map,698,,92,EV092,2,5,402,choice_branch,Si
map,698,,92,EV092,2,6,101,show_text,¡Usaste el Hacha mejorada!
map,698,,92,EV092,2,26,355,script,pbSetEventTime
map,698,,92,EV092,2,27,355,script,"pbReceiveItem(:PIEZADELENA, pbGet(218))"
map,698,,92,EV092,2,28,108,comment,Comprobamos todos los casos y hacemos saltar una cosa u otra según eso.
map,698,,92,EV092,2,75,402,choice_branch,No
map,698,,92,EV092,3,0,101,show_text,"Ya has talado esta parte del árbol, espera hasta mañana."
map,698,,92,EV092,4,1,355,script,"setTempSwitchOn(""A"")"
map,698,,37,BerryPlant,1,0,355,script,pbBerryPlant
map,698,,37,BerryPlant,1,1,108,comment,noshadow
map,698,,74,ESPATHRA,1,1,355,script,Pokemon.play_cry(:ESPATHRA)
map,698,,74,ESPATHRA,1,2,101,show_text,\f[espathra_000]¡Pathra!
map,698,,74,ESPATHRA,1,5,101,show_text,Tu amistad con Espathra ha alcanzado su máximo.
map,698,,74,ESPATHRA,1,8,355,script,"pbGainSocialLinkBond(:ESPATHRA, 1)"
map,698,,74,ESPATHRA,1,11,355,script,pbSetEventTime
map,698,,74,ESPATHRA,2,0,101,show_text,Ya has acariciado a Espathra hoy.
map,698,,74,ESPATHRA,3,0,355,script,Pokemon.play_cry(:ESPATHRA)
map,698,,74,ESPATHRA,3,1,101,show_text,"Espathra está triste, no ha tenido heno para comer, así que no producirá huevos hoy."
map,698,,74,ESPATHRA,4,0,108,comment,noshadow
map,698,,74,ESPATHRA,5,1,355,script,"setTempSwitchOn(""A"")"
map,698,,111,"Fuente, size(1,1)",1,0,108,comment,noshadow
map,698,,56,BerryPlant,1,0,355,script,pbBerryPlant
map,698,,56,BerryPlant,1,1,108,comment,noshadow
map,698,,93,EV093,1,0,108,comment,noshadow
map,698,,93,EV093,1,1,101,show_text,En este árbol se puede sacar madera.
map,698,,93,EV093,1,3,101,show_text,¿Quieres talar algo de leña?
map,698,,93,EV093,1,4,102,choices,Si
map,698,,93,EV093,1,4,102,choices,No
map,698,,93,EV093,1,5,402,choice_branch,Si
map,698,,93,EV093,1,6,101,show_text,¡Usaste el Hacha!
map,698,,93,EV093,1,26,355,script,pbSetEventTime
map,698,,93,EV093,1,28,355,script,pbReceiveItem(:PIEZADELENA)
map,698,,93,EV093,1,35,355,script,"pbReceiveItem(:PIEZADELENA,2)"
map,698,,93,EV093,1,46,355,script,"pbReceiveItem(:PIEZADELENA,3)"
map,698,,93,EV093,1,55,108,comment,Comprobamos todos los casos y hacemos saltar una cosa u otra según eso.
map,698,,93,EV093,1,102,402,choice_branch,No
map,698,,93,EV093,2,0,108,comment,noshadow
map,698,,93,EV093,2,1,101,show_text,En este árbol se puede sacar madera.
map,698,,93,EV093,2,3,101,show_text,¿Quieres talar algo de leña?
map,698,,93,EV093,2,4,102,choices,Si
map,698,,93,EV093,2,4,102,choices,No
map,698,,93,EV093,2,5,402,choice_branch,Si
map,698,,93,EV093,2,6,101,show_text,¡Usaste el Hacha mejorada!
map,698,,93,EV093,2,26,355,script,pbSetEventTime
map,698,,93,EV093,2,27,355,script,"pbReceiveItem(:PIEZADELENA, pbGet(218))"
