source_type,source_id,source_name,event_id,event_name,page,command_index,code,kind,text
map,707,,55,"Fuente, size(4,1)",1,0,108,comment,noshadow
map,707,,92,"Puente, size(1,3)",1,0,355,script,pbBridgeOff
map,707,,129,Trainer(4),1,0,355,script,pbTrainerIntro(:EXPLORADOR)
map,707,,129,Trainer(4),1,1,355,script,pbNoticePlayer(get_character(0))
map,707,,129,Trainer(4),1,2,101,show_text,¿Has venido a explorar la isla? ¡Yo también!
map,707,,129,Trainer(4),1,7,355,script,pbTrainerEnd
map,707,,129,Trainer(4),2,0,101,show_text,¡Se me va a poner un culazo de tanto caminar!
map,707,,166,EV166,1,0,355,script,pbItemBall(:HEATROCK)
map,707,,166,EV166,3,0,355,script,pbItemBall(:HEATROCK)
map,707,,74,"Puente, size(4,1)",1,0,355,script,pbBridgeOff
map,707,,148,EV148,1,0,101,show_text,¿Quieres usar el kit de escalada?
map,707,,148,EV148,1,1,102,choices,Si
map,707,,148,EV148,1,1,102,choices,No
map,707,,148,EV148,1,2,402,choice_branch,Si
map,707,,148,EV148,1,3,355,script,FollowingPkmn.toggle_off
map,707,,148,EV148,1,42,355,script,FollowingPkmn.toggle_on
map,707,,148,EV148,1,44,402,choice_branch,No
map,707,,148,EV148,2,0,101,show_text,¿Quieres usar el kit de escalada?
map,707,,148,EV148,2,1,102,choices,Si
map,707,,148,EV148,2,1,102,choices,No
map,707,,148,EV148,2,2,402,choice_branch,Si
map,707,,148,EV148,2,3,355,script,FollowingPkmn.toggle_off
map,707,,148,EV148,2,42,355,script,FollowingPkmn.toggle_on
map,707,,148,EV148,2,44,402,choice_branch,No
map,707,,185,"Fuente, size(3,1)",1,0,355,script,Pokemon.play_cry(:CHATOT)
map,707,,185,"Fuente, size(3,1)",1,19,101,show_text,\sh\dxn[Darek]¡C-Creo que por aquí no es!
map,707,,185,"Fuente, size(3,1)",1,24,101,show_text,\dxn[Eda]¿Huh? ¿Acaso le tienes miedo a los loros?
map,707,,185,"Fuente, size(3,1)",1,29,101,show_text,\dxn[Darek]Tú no has visto nada... ¿sí?
map,707,,56,"Fuente, size(1,4)",1,0,108,comment,noshadow
map,707,,93,"Puente, size(3,1)",1,0,355,script,pbBridgeOn
map,707,,130,xd,1,0,108,comment,noshadow
map,707,,167,EV167,1,6,355,script,Pokemon.play_cry(:GIMMIGHOUL)
map,707,,167,EV167,1,9,355,script,"setBattleRule(""base"", ""bridge"")"
map,707,,167,EV167,1,10,355,script,"pbWildBattle(:GIMMIGHOUL, 65)"
map,707,,167,EV167,1,11,355,script,pbSetEventTime
map,707,,167,EV167,1,15,101,show_text,Parece que ha soltado una extraña moneda...
map,707,,167,EV167,1,16,355,script,pbReceiveItem(:GOLD)
map,707,,167,EV167,3,1,355,script,"setTempSwitchOn(""A"")"
map,707,,75,"Puente, size(3,1)",1,0,355,script,pbBridgeOff
map,707,,149,EV149,1,0,101,show_text,¿Quieres usar el kit de escalada?
map,707,,149,EV149,1,1,102,choices,Si
map,707,,149,EV149,1,1,102,choices,No
map,707,,149,EV149,1,2,402,choice_branch,Si
map,707,,149,EV149,1,3,355,script,FollowingPkmn.toggle_off
map,707,,149,EV149,1,42,355,script,FollowingPkmn.toggle_on
map,707,,149,EV149,1,44,402,choice_branch,No
map,707,,149,EV149,2,0,101,show_text,¿Quieres usar el kit de escalada?
map,707,,149,EV149,2,1,102,choices,Si
map,707,,149,EV149,2,1,102,choices,No
map,707,,149,EV149,2,2,402,choice_branch,Si
map,707,,149,EV149,2,3,355,script,FollowingPkmn.toggle_off
map,707,,149,EV149,2,42,355,script,FollowingPkmn.toggle_on
map,707,,149,EV149,2,44,402,choice_branch,No
map,707,,1,EV001,1,0,355,script,pbItemBall(:SUNSTONE)
map,707,,94,Update,1,0,108,comment,noshadow
map,707,,131,xd,1,0,108,comment,noshadow
map,707,,168,Slope,1,0,108,comment,Slope: -2x-1
map,707,,168,Slope,1,1,108,comment,Width: 1/2
map,707,,168,Slope,1,2,108,comment,Offset: 16px
map,707,,20,EV020,1,0,355,script,pbItemBall(:FULLRESTORE)
map,707,,20,EV020,3,0,355,script,pbItemBall(:FULLRESTORE)
map,707,,57,"Fuente, size(1,3)",1,0,108,comment,noshadow
map,707,,113,"Fuente, size(1,3)",1,0,108,comment,noshadow
map,707,,150,EV150,1,0,101,show_text,¿Quieres usar el kit de escalada?
map,707,,150,EV150,1,1,102,choices,Si
map,707,,150,EV150,1,1,102,choices,No
map,707,,150,EV150,1,2,402,choice_branch,Si
map,707,,150,EV150,1,3,355,script,FollowingPkmn.toggle_off
map,707,,150,EV150,1,42,355,script,FollowingPkmn.toggle_on
map,707,,150,EV150,1,44,402,choice_branch,No
map,707,,150,EV150,2,0,101,show_text,¿Quieres usar el kit de escalada?
map,707,,150,EV150,2,1,102,choices,Si
map,707,,150,EV150,2,1,102,choices,No
map,707,,150,EV150,2,2,402,choice_branch,Si
map,707,,150,EV150,2,3,355,script,FollowingPkmn.toggle_off
map,707,,150,EV150,2,42,355,script,FollowingPkmn.toggle_on
map,707,,150,EV150,2,44,402,choice_branch,No
map,707,,187,"Fuente, size(1,2)",1,0,108,comment,noshadow
map,707,,2,EV002,1,6,355,script,Pokemon.play_cry(:GIMMIGHOUL)
map,707,,2,EV002,1,9,355,script,"setBattleRule(""base"", ""bridge"")"
map,707,,2,EV002,1,10,355,script,"pbWildBattle(:GIMMIGHOUL, 65)"
map,707,,2,EV002,1,11,355,script,pbSetEventTime
map,707,,2,EV002,1,15,101,show_text,Parece que ha soltado una extraña moneda...
map,707,,2,EV002,1,16,355,script,pbReceiveItem(:GOLD)
map,707,,2,EV002,3,1,355,script,"setTempSwitchOn(""A"")"
map,707,,39,KOKOCULO,1,7,101,show_text,¡Has recogido un \c[6]Kokoculus\c[0]!
map,707,,76,"Puente, size(4,1)",1,0,355,script,pbBridgeOff
map,707,,132,Trainer,1,0,355,script,pbNoticePlayer(get_character(0))
map,707,,132,Trainer,1,1,101,show_text,¡Estas aguas son geniales para capturar Pokémon! ¡Déjame enseñártelos!
map,707,,132,Trainer,1,6,355,script,pbTrainerEnd
map,707,,132,Trainer,2,0,101,show_text,¡Siguen siendo mis Pokémon favoritos!
map,707,,169,Slope,1,0,108,comment,Slope: -2x-1
map,707,,169,Slope,1,1,108,comment,Width: 0/2
map,707,,169,Slope,1,2,108,comment,Offset: 16px
