source_type,source_id,source_name,event_id,event_name,page,command_index,code,kind,text
common_event,1,Professor Oak phone,,,,0,101,show_text,......\wt[5] ......
common_event,1,Professor Oak phone,,,,2,101,show_text,"Hello, \PN!\nI can see you calling me over there!"
common_event,1,Professor Oak phone,,,,3,101,show_text,Come over and talk to me.
common_event,1,Professor Oak phone,,,,7,101,show_text,"Hello, this is Professor Oak...\nOh, hello, \PN!"
common_event,1,Professor Oak phone,,,,8,101,show_text,"So, how's your Pokédex coming along?"
common_event,1,Professor Oak phone,,,,9,102,choices,Evaluate Pokédex
common_event,1,Professor Oak phone,,,,9,102,choices,Quit
common_event,1,Professor Oak phone,,,,10,402,choice_branch,Evaluate Pokédex
common_event,1,Professor Oak phone,,,,11,355,script,"pbSet(1,$Trainer.pokedex.seen_count)"
common_event,1,Professor Oak phone,,,,12,655,script_cont,"pbSet(2,$Trainer.pokedex.owned_count)"
common_event,1,Professor Oak phone,,,,13,101,show_text,"Hmm, let's see..\nYou've seen \v[1] Pokémon, and"
common_event,1,Professor Oak phone,,,,14,401,show_text_cont,\nyou've caught \v[2] Pokémon!\nI see!
common_event,1,Professor Oak phone,,,,16,101,show_text,"Hmm, you still have a long journey ahead of you!"
common_event,1,Professor Oak phone,,,,17,401,show_text_cont,\nKeep on going!
common_event,1,Professor Oak phone,,,,22,101,show_text,"Hmm, you're catching Pokémon at a decent pace!"
common_event,1,Professor Oak phone,,,,27,101,show_text,"You've caught a lot of Pokémon, but make sure you're"
common_event,1,Professor Oak phone,,,,28,401,show_text_cont,raising them carefully!
common_event,1,Professor Oak phone,,,,33,101,show_text,I didn't even know that many Pokémon existed!
common_event,1,Professor Oak phone,,,,38,101,show_text,Show me your Pokédex again anytime!
common_event,1,Professor Oak phone,,,,40,402,choice_branch,Quit
common_event,1,Professor Oak phone,,,,41,101,show_text,Show me your Pokédex anytime!
common_event,1,Professor Oak phone,,,,45,101,show_text,Click!\wt[10]\n......\wt[5] ......
common_event,2,Brendan dependent event,,,,0,101,show_text,\bDo you want me to stop following you?
common_event,2,Brendan dependent event,,,,1,102,choices,Yes
common_event,2,Brendan dependent event,,,,1,102,choices,No
common_event,2,Brendan dependent event,,,,2,402,choice_branch,Yes
common_event,2,Brendan dependent event,,,,3,355,script,"pbRemoveDependency2(""Brendan"")"
common_event,2,Brendan dependent event,,,,4,355,script,pbDeregisterPartner
common_event,2,Brendan dependent event,,,,5,101,show_text,"\bI'll stay here, then."
common_event,2,Brendan dependent event,,,,7,402,choice_branch,No
common_event,2,Brendan dependent event,,,,8,101,show_text,\bLet's keep going!
common_event,3,Eda dependiente xD,,,,1,101,show_text,\dxn[Eda]¡Claro! ¡Te curo los Pokémon!
common_event,3,Eda dependiente xD,,,,7,101,show_text,\dxn[Eda]¡Sigamos con lo nuestro!
common_event,4,Xiao dependiente xD,,,,1,101,show_text,\dxn[Eda]¡Claro! ¡Te curo los Pokémon!
common_event,4,Xiao dependiente xD,,,,7,101,show_text,"\dxn[Eda]¡Vámonos, no hay tiempo que perder!"
common_event,4,Xiao dependiente xD,,,,9,355,script,"pbRegisterPartner(:LEADER_Yangxiao,""Yang Xiao"",1)"
common_event,5,Vesta dependiente xD,,,,1,101,show_text,\dxn[Ex Comandante Vesta]¿Qué narices quieres? Tenemos prisa.
common_event,6,Sakura dependiente xD,,,,1,101,show_text,"\dxn[Sakura]Deberíamos investigar el bosque, a ver si descubrimos cómo salir de aquí."
common_event,7,Lluvia dependiente xD,,,,1,101,show_text,\dxn[Lluvia]Veamos qué nos espera arriba.
common_event,8,Adri dependiente xD,,,,1,101,show_text,\dxn[Adrián]Veamos qué nos espera arriba.
common_event,9,Shayan dependiente xD,,,,1,101,show_text,\dxn[Shayan]¿Ocurre algo?
common_event,10,Rodolfo dependiente xD,,,,1,101,show_text,"\dxn[Rodolfo]¡Venga, vamos!"
common_event,11,Evento del botiquin xD,,,,1,101,show_text,El Botiquín tiene \v[254] cargas de energía.
common_event,11,Evento del botiquin xD,,,,2,101,show_text,¿Quieres usarlo?
common_event,11,Evento del botiquin xD,,,,3,102,choices,Si
common_event,11,Evento del botiquin xD,,,,3,102,choices,No
common_event,11,Evento del botiquin xD,,,,4,402,choice_branch,Si
common_event,11,Evento del botiquin xD,,,,8,101,show_text,¡Se ha restaurado la vida de tus Pokémon!
common_event,11,Evento del botiquin xD,,,,10,101,show_text,Al Botiquín le quedan \v[254] cargas de energía.
common_event,11,Evento del botiquin xD,,,,12,402,choice_branch,No
common_event,11,Evento del botiquin xD,,,,13,101,show_text,No usaste el Botiquín.
common_event,11,Evento del botiquin xD,,,,18,101,show_text,No te quedan cargas en el Botiquín.
