source_type,source_id,source_name,event_id,event_name,page,command_index,code,kind,text
map,22,,5,EV005,1,24,355,script,pbChangePlayer(0)
map,22,,5,EV005,1,38,355,script,pbChangePlayer(1)
map,22,,1,Quick start intro,1,0,108,comment,"This is the Debug intro, used to quickly start a game."
map,22,,1,Quick start intro,1,1,408,comment_cont,The player's name and trainer type are chosen
map,22,,1,Quick start intro,1,2,408,comment_cont,automatically.
map,22,,1,Quick start intro,1,3,355,script,pbChangePlayer(0)
map,22,,1,Quick start intro,1,4,355,script,"pbTrainerName(""Red"")"
map,22,,1,Quick start intro,1,6,355,script,pbToneChangeAll(
map,22,,1,Quick start intro,1,7,655,script_cont,"Tone.new(-255, -255, -255, 0),"
map,22,,1,Quick start intro,1,8,655,script_cont,0
map,22,,1,Quick start intro,1,9,655,script_cont,)
map,22,,1,Quick start intro,1,11,355,script,pbToneChangeAll(
map,22,,1,Quick start intro,1,12,655,script_cont,"Tone.new(0, 0, 0, 0),"
map,22,,1,Quick start intro,1,13,655,script_cont,10
map,22,,1,Quick start intro,1,14,655,script_cont,)
map,22,,2,Intro,1,8,101,show_text,"Antes de empezar, ¿necesitas saber cómo funcionan los controles?"
map,22,,2,Intro,1,9,102,choices,Si
map,22,,2,Intro,1,9,102,choices,Nah
map,22,,2,Intro,1,10,402,choice_branch,Si
map,22,,2,Intro,1,11,355,script,pbEventScreen(ButtonEventScene)
map,22,,2,Intro,1,13,402,choice_branch,Nah
map,22,,2,Intro,1,17,101,show_text,Un par de preguntas antes de empezar...
map,22,,2,Intro,1,19,101,show_text,¿Quieres subir este juego a Internet? Esta opción sustituirá algunas canciones que contienen copyright para evitar problemas.
map,22,,2,Intro,1,20,102,choices,"Sí, subiré el juego a Internet"
map,22,,2,Intro,1,20,102,choices,"Nope, solo estoy jugando."
map,22,,2,Intro,1,21,402,choice_branch,"Sí, subiré el juego a Internet"
map,22,,2,Intro,1,22,355,script,$PokemonSystem.streamer = 1
map,22,,2,Intro,1,24,402,choice_branch,"Nope, solo estoy jugando."
map,22,,2,Intro,1,28,101,show_text,Para evitar cualquier problema... ¿Eres fotosensible a algunas luces e iluminación?
map,22,,2,Intro,1,29,102,choices,"Sip, soy fotosensible"
map,22,,2,Intro,1,29,102,choices,Nope
map,22,,2,Intro,1,30,402,choice_branch,"Sip, soy fotosensible"
map,22,,2,Intro,1,31,355,script,$PokemonSystem.flashlight = 1
map,22,,2,Intro,1,33,402,choice_branch,Nope
map,22,,2,Intro,1,42,108,comment,Selección de dificultad
map,22,,2,Intro,1,45,101,show_text,Selecciona un modo de dificultad.
map,22,,2,Intro,2,1,108,comment,Al pulsar hacia abajo
map,22,,2,Intro,2,3,355,script,echo pbGet(406)
map,22,,2,Intro,2,17,108,comment,Al pulsar hacia arriba
map,22,,2,Intro,2,32,108,comment,Qué imagen me enseña
map,22,,2,Intro,2,57,108,comment,Si la tecla de Aceptar está presionada
map,22,,2,Intro,2,60,101,show_text,El \c[2]Modo Fácil\c[0] es para gente que no está muy familiarizada con Pokémon.
map,22,,2,Intro,2,62,101,show_text,Los Pokémon de los entrenadores tienen \c[2]2 nivel menos\c[0].
map,22,,2,Intro,2,64,101,show_text,"Todos los Pokémon de entrenadores, tendrán sus \c[2]IVs y EVs a 0\c[0]."
map,22,,2,Intro,2,66,101,show_text,"Todos los PL (Puntos Locales) que ganes, se multiplicarán en \c[2]x0.75\c[0]."
map,22,,2,Intro,2,68,101,show_text,¿Estás seguro de que quieres jugar en \c[2]Modo Fácil\c[0]?
map,22,,2,Intro,2,69,102,choices,Sí
map,22,,2,Intro,2,69,102,choices,No
map,22,,2,Intro,2,70,402,choice_branch,Sí
map,22,,2,Intro,2,82,402,choice_branch,No
map,22,,2,Intro,2,91,101,show_text,El \c[2]Modo Normal\c[0] es el más recomendado para el público.
map,22,,2,Intro,2,93,101,show_text,"Una dificultad estándar, para gente que juega Pokémon de manera casual."
map,22,,2,Intro,2,95,101,show_text,¿Estás seguro de que quieres jugar en \c[2]Modo Normal\c[0]?
map,22,,2,Intro,2,96,102,choices,Sí
map,22,,2,Intro,2,96,102,choices,No
map,22,,2,Intro,2,97,402,choice_branch,Sí
map,22,,2,Intro,2,109,402,choice_branch,No
map,22,,2,Intro,2,118,101,show_text,"El \c[2]Modo Difícil\c[0] es un poco más complicado, el nivel de todos los Pokémon de los entrenadores \c[2]aumentan en 1\c[0]."
map,22,,2,Intro,2,120,101,show_text,"Además, todos sus Pokémon tendrán \c[2]31 IVs en cada estadística\c[0]."
map,22,,2,Intro,2,122,101,show_text,"No es lo más difícil, pero se te puede llegar a complicar en alguna situación."
map,22,,2,Intro,2,124,101,show_text,"Todos los PL (Puntos Locales) que ganes, se multiplicarán en \c[2]x1.25\c[0]."
map,22,,2,Intro,2,126,101,show_text,¿Estás seguro de que quieres jugar en \c[2]Modo Difícil\c[0]?
map,22,,2,Intro,2,127,102,choices,Sí
map,22,,2,Intro,2,127,102,choices,No
