source_type,source_id,source_name,event_id,event_name,page,command_index,code,kind,text
map,42,,49,EV049,1,0,355,script,pbSetPokemonCenter
map,42,,38,EV038,1,0,101,show_text,"Hay novelas ligeras, a tu madre le gustan bastante."
map,42,,27,EV027,1,0,101,show_text,Hay muchos mangas distintos.
map,42,,44,EV044,1,0,101,show_text,Tocas una canción:
map,42,,33,EV033,1,0,101,show_text,Aquí hay libros de conocimiento de Pokémon.
map,42,,22,EV022,1,0,101,show_text,Es un muñeco de Eevee.
map,42,,11,Smeargle,2,0,355,script,Pokemon.play_cry(:CHANSEY)
map,42,,39,EV039,1,0,101,show_text,"Hay novelas ligeras, a tu madre le gustan bastante."
map,42,,28,EV028,1,0,101,show_text,Hay muchos mangas distintos.
map,42,,50,Tele,1,0,108,comment,noshadow
map,42,,45,EV045,1,1,101,show_text,Se ve una foto de cuando eras más pequeño.
map,42,,45,EV045,1,4,101,show_text,Se ve una foto de cuando eras más pequeña.
map,42,,34,EV034,1,0,101,show_text,"Hay novelas ligeras, a tu madre le gustan bastante."
map,42,,23,EV023,1,0,101,show_text,Es un muñeco de Poliwag.
map,42,,1,Padre,5,0,101,show_text,"\dxn[Papá]Sé que eres fuerte, \PN, estoy seguro de que encontrarás a Lucario y volveréis a viajar juntos."
map,42,,1,Padre,5,2,101,show_text,\dxn[Papá]Mucho ánimo.
map,42,,12,EV012,2,0,108,comment,noshadow
map,42,,12,EV012,2,1,355,script,$Trainer.has_running_shoes = true
map,42,,12,EV012,2,3,101,show_text,¡Te has puesto las \c[2]deportivas\c[0]!
map,42,,40,EV040,1,0,101,show_text,"Queda media pizza en la nevera, pero no te la vas a comer así fría."
map,42,,29,EV029,1,0,101,show_text,Hay muchos mangas distintos.
map,42,,7,EV007,1,0,101,show_text,"Lo de que no te hayas puesto las zapatillas antes de bajar, me tiene bailando danza aleteo."
map,42,,51,EV051,1,0,108,comment,noshadow
map,42,,18,EV018,1,6,355,script,"pbAddDependency2(001, ""FollowerPkmn"", FollowingPkmn::FOLLOWER_COMMON_EVENT)"
map,42,,46,EV046,1,0,108,comment,noshadow
map,42,,13,EV013,1,59,101,show_text,"\dxn[Mamá]Por fin llegas a casa, cariño. ¿Dónde te metiste?"
map,42,,13,EV013,1,64,101,show_text,"\dxn[Mamá]Ya veo, así que al final has conseguido un Pokémon."
map,42,,13,EV013,1,66,101,show_text,\dxn[Mamá]De todas formas... ¿Dónde están tus notas?
map,42,,13,EV013,1,82,102,choices,I uh... I lost them
map,42,,13,EV013,1,82,102,choices,A Psyduck ate them
map,42,,13,EV013,1,83,402,choice_branch,I uh... I lost them
map,42,,13,EV013,1,93,101,show_text,\dxn[Mamá]¿Pero dónde tienes la cabeza?
map,42,,13,EV013,1,95,402,choice_branch,A Psyduck ate them
map,42,,13,EV013,1,105,101,show_text,\dxn[Mamá]¿De verdad crees que me voy a creer eso?
map,42,,13,EV013,1,109,101,show_text,\dxn[Mamá]En fin... ¿Ya sabes qué es lo que quieres estudiar?
map,42,,13,EV013,1,119,101,show_text,\dxn[\PN]Quiero...
map,42,,13,EV013,1,120,102,choices,Ser Maestro Pokémon
map,42,,13,EV013,1,120,102,choices,Viajar por el mundo
map,42,,13,EV013,1,121,402,choice_branch,Ser Maestro Pokémon
map,42,,13,EV013,1,125,101,show_text,\dxn[Mamá]¿Pero qué estás diciendo? ¿Es una broma?
map,42,,13,EV013,1,128,402,choice_branch,Viajar por el mundo
map,42,,13,EV013,1,132,101,show_text,\dxn[Mamá]¿Ah si? ¿Y de qué quieres vivir?
map,42,,13,EV013,1,144,101,show_text,"\dxn[Papá]Espera un segundo, cariño, déjame preguntarle una cosa."
map,42,,13,EV013,1,159,101,show_text,\dxn[Papá]Imagino que habrás tenido un combate Pokémon para decir tal cosa. ¿Qué has sentido combatiendo?
map,42,,13,EV013,1,168,102,choices,It was amazing.
map,42,,13,EV013,1,168,102,choices,It made me very happy.
map,42,,13,EV013,1,169,402,choice_branch,It was amazing.
map,42,,13,EV013,1,181,101,show_text,"\sh\dxn[Papá]¡Me alegra escuchar eso, \PN!"
map,42,,13,EV013,1,183,402,choice_branch,It made me very happy.
map,42,,13,EV013,1,195,101,show_text,\sh\dxn[Papá]¡Me alegra saber que por fin hay algo que te hace feliz!
map,42,,13,EV013,1,206,101,show_text,\dxn[Mamá]¿Pero qué más dará? Esa no es la manera de ver las cosas.
map,42,,13,EV013,1,208,101,show_text,\dxn[Mamá]¡Ni siquiera tu padre cuando viajó por el mundo consiguió...!
map,42,,13,EV013,1,233,101,show_text,\sh\dxn[Papá]¡MARTA!
map,42,,13,EV013,1,247,101,show_text,\dxn[Papá]...
map,42,,13,EV013,1,249,101,show_text,"\dxn[Papá]Es cierto, yo salí de viaje cuando era joven porque quería ser un Maestro Pokémon. Ese fue mi sueño desde bien pequeño..."
map,42,,13,EV013,1,257,101,show_text,"\dxn[Papá]No todos somos capaces de cumplir nuestros sueños, y al final me tuve que conformar con trabajar como pintor en la obra."
map,42,,13,EV013,1,259,101,show_text,"\dxn[Papá]Yo perdí mi oportunidad, pero tú todavía tienes la tuya, y si de verdad sientes que es lo que quieres... No me puedo negar."
map,42,,13,EV013,1,261,101,show_text,"\dxn[Papá]Pero también quiero que estés bien, te quiero y me preocupa tu seguridad y tu futuro, así que si quieres cumplir tu sueño..."
map,42,,13,EV013,1,263,101,show_text,"\dxn[Papá]¡Quiero comprobar con un combate Pokémon, que puedes viajar por la región de Akebia!"
map,42,,13,EV013,1,274,101,show_text,"\sh\dxn[Papá]¡Prepárate, este viejo no se anda con chiquitas!"
map,42,,13,EV013,1,275,355,script,"setBattleRule(""canLose"")"
map,42,,13,EV013,1,287,101,show_text,"\dxn[Papá]¡Eres mejor de lo que imaginaba, sin duda has sacado las fuerzas de tu padre!"
map,42,,13,EV013,1,291,101,show_text,"\dxn[Papá]No ha estado mal, mejor de lo que esperaba sinceramente."
map,42,,13,EV013,1,302,101,show_text,\dxn[Mamá]Ciertamente se parece a ti cuando eras joven.
map,42,,13,EV013,1,304,101,show_text,\dxn[Mamá]Justo del hombre del que me enamoré.
map,42,,13,EV013,1,308,101,show_text,"\dxn[Papá]¡Soy exactamente igual que en aquel entonces, soy una bestia!"
map,42,,13,EV013,1,310,101,show_text,"\dxn[Mamá]Bueno, tampoco te pases."
map,42,,13,EV013,1,323,355,script,"pbZoomMap(2,0.1,zoom=""in"")"
map,42,,13,EV013,1,325,101,show_text,\ts[1]Supongo... \wt[10]que ha llegado el momento de que herede esto...
map,42,,13,EV013,1,326,108,comment,// Animación del lazo
map,42,,13,EV013,1,339,355,script,"pbZoomMap(1,0.1,zoom=""out"")"
map,42,,13,EV013,1,342,101,show_text,"\dxn[Papá]Antes de nada, me gustaría darte esto."
map,42,,13,EV013,1,351,101,show_text,\dxn[Papá]Es la vieja bandana que me regaló mi padre y con la que yo viajaba cuando era joven.
map,42,,13,EV013,1,353,101,show_text,\dxn[Papá]Ahora me gustaría que la llevaras tú y se la pusieras a tu Pokémon.
map,42,,13,EV013,1,356,355,script,pbReceiveItem(:LAZO)
map,42,,13,EV013,1,366,101,show_text,\dxn[Papá]También me gustaría darte esta última cosa para tu viaje.
map,42,,13,EV013,1,367,355,script,pbReceiveItem(:EXPALL)
map,42,,13,EV013,1,369,101,show_text,\dxn[Papá]Se llama \c[2]Repartir Experiencia\c[0]. Supongo que en la escuela ya habéis estudiado para qué sirve.
map,42,,13,EV013,1,387,101,show_text,"\dxn[Mamá]Cielo, al menos llévate esto para no preocuparme."
map,42,,13,EV013,1,388,355,script,pbReceiveItem(:POKEVIAL)
map,42,,13,EV013,1,392,101,show_text,\dxn[Mamá]Se trata de un Botiquín. Con él podrás curar a tus Pokémon mientras estés fuera.
