source_type,source_id,source_name,event_id,event_name,page,command_index,code,kind,text
map,79,,49,EV049,1,0,108,comment,noshadow
map,79,,38,"size(1,3) Evento niñoditto",1,29,101,show_text,\sh\dxn[???]¡BUAAAAAAA!
map,79,,38,"size(1,3) Evento niñoditto",1,42,101,show_text,\dxn[\PN](¿Qué está pasando?)
map,79,,38,"size(1,3) Evento niñoditto",1,71,101,show_text,\dxn[???]¡BUAAAAAAA!
map,79,,38,"size(1,3) Evento niñoditto",1,73,101,show_text,\sh\dxn[???]¡BUAAAAAAAAAAAA!
map,79,,38,"size(1,3) Evento niñoditto",1,83,101,show_text,\dxn[\PN](Parece que ese niño necesita ayuda...)
map,79,,38,"size(1,3) Evento niñoditto",1,102,101,show_text,"\dxn[???]Un... ¿Entrenador? Snif, snif..."
map,79,,38,"size(1,3) Evento niñoditto",1,114,101,show_text,"\dxn[???]Sabía que si me ponía a llorar alguien me ayudaría je, je, je."
map,79,,38,"size(1,3) Evento niñoditto",1,122,101,show_text,\dxn[???]Resulta que mi Pokémon se ha perdido y no sé dónde está... ¿Podrías ayudarme a buscarlo?
map,79,,38,"size(1,3) Evento niñoditto",1,126,102,choices,Yes
map,79,,38,"size(1,3) Evento niñoditto",1,126,102,choices,No
map,79,,38,"size(1,3) Evento niñoditto",1,127,402,choice_branch,Yes
map,79,,38,"size(1,3) Evento niñoditto",1,136,101,show_text,"\dxn[???]¡Qué chuli, menos mal!"
map,79,,38,"size(1,3) Evento niñoditto",1,140,101,show_text,"\dxn[???]Mi \c[2]Ditto\c[0] no puede andar muy lejos, pero es capaz de transformarse en cualquier cosa, aunque tiene preferencia por las \c[2]rocas\c[0]..."
map,79,,38,"size(1,3) Evento niñoditto",1,144,101,show_text,"\dxn[???]Suerte con ello, yo mientras te esperaré sentado haciendo absolutamente nada."
map,79,,38,"size(1,3) Evento niñoditto",1,149,402,choice_branch,No
map,79,,38,"size(1,3) Evento niñoditto",1,158,101,show_text,\sh\dxn[???]¡BUAAAAAAAAAAAAAAAAAA!
map,79,,38,"size(1,3) Evento niñoditto",1,168,101,show_text,\dxn[\PN](Así no llegaremos a ninguna parte...)
map,79,,38,"size(1,3) Evento niñoditto",2,7,101,show_text,\dxn[\PN](Debería ayudar al niño...)
map,79,,38,"size(1,3) Evento niñoditto",3,0,355,script,Pokemon.play_cry(:DITTO)
map,79,,38,"size(1,3) Evento niñoditto",3,1,101,show_text,\f[ditto000]¡DITTO!
map,79,,38,"size(1,3) Evento niñoditto",3,19,355,script,Pokemon.play_cry(:DITTO)
map,79,,38,"size(1,3) Evento niñoditto",3,20,101,show_text,\f[ditto000]¡DITTO!
map,79,,38,"size(1,3) Evento niñoditto",3,31,101,show_text,\dxn[???]¿Dónde te habías metido? ¡Te tengo dicho que no te separes de mi!
map,79,,38,"size(1,3) Evento niñoditto",3,35,101,show_text,"\sh\dxn[???]¡Anda, sube!"
map,79,,38,"size(1,3) Evento niñoditto",3,38,355,script,Pokemon.play_cry(:DITTO)
map,79,,38,"size(1,3) Evento niñoditto",3,39,101,show_text,\f[ditto000]¡DITTO!
map,79,,38,"size(1,3) Evento niñoditto",3,51,101,show_text,"\dxn[???]¡Entrenador, dime tu nombre!"
map,79,,38,"size(1,3) Evento niñoditto",3,54,101,show_text,"\dxn[???]¡Entrenadora, dime tu nombre!"
map,79,,38,"size(1,3) Evento niñoditto",3,60,101,show_text,"\dxn[???]Ya veo, encantado, \PN."
map,79,,38,"size(1,3) Evento niñoditto",3,64,101,show_text,"\sh\dxn[???]¡Yo soy Rodolfo, la persona que dominará el mundo!"
map,79,,38,"size(1,3) Evento niñoditto",3,69,101,show_text,\dxn[Rodolfo]¿No me crees? ¡Algún día te lo demostraré!
map,79,,38,"size(1,3) Evento niñoditto",3,76,101,show_text,"\dxn[Rodolfo]¡Adiós, entrenador de pacotilla!"
map,79,,38,"size(1,3) Evento niñoditto",3,98,355,script,pbAddSocialLink(:RODOLFO)
map,79,,38,"size(1,3) Evento niñoditto",3,99,355,script,"pbGainSocialLinkBond(:RODOLFO, 1, silent: true)"
map,79,,16,EV016,2,7,101,show_text,\dxn[\PN](Debería ayudar al niño...)
map,79,,27,niño ditto,3,1,101,show_text,\dxn[???]¿Has encontrado ya a mi Pokémon?
map,79,,27,niño ditto,3,10,102,choices,Yes
map,79,,27,niño ditto,3,10,102,choices,No
map,79,,27,niño ditto,3,11,402,choice_branch,Yes
