source_type,source_id,source_name,event_id,event_name,page,command_index,code,kind,text
map,92,,92,EV092,1,0,101,show_text,<b><ac>Ciudad Calentra</ac></b><ac>¡Una ciudad muy tranquila con playa!</ac><ac>
map,92,,37,EV037,1,0,355,script,ChangeSpeed.new.pbChangeSpeed(0)
map,92,,37,EV037,1,6,355,script,"pbRemoveDependency2(""FollowerPkmn"")"
map,92,,74,Slope,1,0,108,comment,Slope: 2x1
map,92,,74,Slope,1,1,108,comment,Width: 1/2
map,92,,74,Slope,1,2,108,comment,Offset: 16px
map,92,,111,EV111,1,0,108,comment,noshadow
map,92,,148,EV148,1,0,108,comment,noshadow
map,92,,93,Slope,1,0,108,comment,Slope: 2x1
map,92,,93,Slope,1,1,108,comment,Width: 0/2
map,92,,93,Slope,1,2,108,comment,Offset: 16px
map,92,,19,Vending machine 1,1,0,355,script,"setPrice(:FRESHWATER,300)"
map,92,,19,Vending machine 1,1,1,355,script,"setPrice(:SODAPOP,450)"
map,92,,19,Vending machine 1,1,2,355,script,"setPrice(:LEMONADE,600)"
map,92,,19,Vending machine 1,1,3,355,script,pbPokemonMart2([
map,92,,19,Vending machine 1,1,4,655,script_cont,":FRESHWATER,"
map,92,,19,Vending machine 1,1,5,655,script_cont,":SODAPOP,"
map,92,,19,Vending machine 1,1,6,655,script_cont,:LEMONADE])
map,92,,75,EV075,1,0,101,show_text,Llego de trabajar bastante tarde... Una cervecita y pa' casa.
map,92,,112,Slope,1,0,355,script,pbBridgeOff
map,92,,112,Slope,1,1,108,comment,Slope: -2x1
map,92,,112,Slope,1,2,108,comment,Width: 0/2
map,92,,112,Slope,1,3,108,comment,Offset: 16px
map,92,,149,EV149,1,1,355,script,$PokemonGlobal.gachaCoins += 3
map,92,,38,EV038,1,5,355,script,ChangeSpeed.new.pbChangeSpeed(0)
map,92,,38,EV038,1,6,355,script,"pbRemoveDependency2(""FollowerPkmn"")"
map,92,,94,Slope,1,0,108,comment,Slope: 2x-1
map,92,,94,Slope,1,1,108,comment,Width: 1/2
map,92,,94,Slope,1,2,108,comment,Offset: 16px
map,92,,131,EV131,1,0,108,comment,noshadow
map,92,,20,Vending machine 1,1,0,355,script,"setPrice(:FRESHWATER,300)"
map,92,,20,Vending machine 1,1,1,355,script,"setPrice(:SODAPOP,450)"
map,92,,20,Vending machine 1,1,2,355,script,"setPrice(:LEMONADE,600)"
map,92,,20,Vending machine 1,1,3,355,script,pbPokemonMart2([
map,92,,20,Vending machine 1,1,4,655,script_cont,":FRESHWATER,"
map,92,,20,Vending machine 1,1,5,655,script_cont,":SODAPOP,"
map,92,,20,Vending machine 1,1,6,655,script_cont,:LEMONADE])
map,92,,57,EV057,1,0,101,show_text,"Tengo entendido que el Líder de Gimnasio de este pueblo, usa Pokémon de tipo Lucha."
map,92,,113,EV113,1,0,108,comment,noshadow
map,92,,39,EV039,1,5,355,script,ChangeSpeed.new.pbChangeSpeed(0)
map,92,,39,EV039,1,6,355,script,"pbRemoveDependency2(""FollowerPkmn"")"
map,92,,76,EV076,1,0,355,script,Pokemon.play_cry(:SANDYGAST)
map,92,,132,EV132,1,0,108,comment,noshadow
map,92,,21,Vending machine 1,1,0,355,script,"setPrice(:FRESHWATER,300)"
map,92,,21,Vending machine 1,1,1,355,script,"setPrice(:SODAPOP,450)"
map,92,,21,Vending machine 1,1,2,355,script,"setPrice(:LEMONADE,600)"
map,92,,21,Vending machine 1,1,3,355,script,pbPokemonMart2([
map,92,,21,Vending machine 1,1,4,655,script_cont,":FRESHWATER,"
map,92,,21,Vending machine 1,1,5,655,script_cont,":SODAPOP,"
map,92,,21,Vending machine 1,1,6,655,script_cont,:LEMONADE])
map,92,,58,EV058,1,0,101,show_text,"Estoy regando mis plantitas, ¡con este clima crecen genial!"
map,92,,95,Slope,1,0,108,comment,Slope: 2x-1
map,92,,95,Slope,1,1,108,comment,Width: 0/2
map,92,,95,Slope,1,2,108,comment,Offset: 16px
map,92,,40,EV040,1,0,355,script,ChangeSpeed.new.pbChangeSpeed(0)
map,92,,40,EV040,1,6,355,script,"pbRemoveDependency2(""FollowerPkmn"")"
map,92,,77,EV077,1,0,355,script,Pokemon.play_cry(:SANDYGAST)
map,92,,114,EV114,1,0,108,comment,noshadow
map,92,,22,Vending machine 1,1,0,355,script,"setPrice(:FRESHWATER,300)"
map,92,,22,Vending machine 1,1,1,355,script,"setPrice(:SODAPOP,450)"
map,92,,22,Vending machine 1,1,2,355,script,"setPrice(:LEMONADE,600)"
map,92,,22,Vending machine 1,1,3,355,script,pbPokemonMart2([
map,92,,22,Vending machine 1,1,4,655,script_cont,":FRESHWATER,"
map,92,,22,Vending machine 1,1,5,655,script_cont,":SODAPOP,"
map,92,,22,Vending machine 1,1,6,655,script_cont,:LEMONADE])
map,92,,59,EV059,1,0,355,script,Pokemon.play_cry(:BUDEW)
map,92,,96,Slope,1,0,355,script,pbBridgeOff
map,92,,96,Slope,1,1,108,comment,Slope: -2x1
map,92,,96,Slope,1,2,108,comment,Width: 1/2
map,92,,96,Slope,1,3,108,comment,Offset: 16px
map,92,,133,EV133,1,0,108,comment,noshadow
map,92,,115,EV115,1,0,108,comment,noshadow
map,92,,23,EV023,1,4,355,script,"pbRemoveDependency2(""FollowerPkmn"")"
map,92,,60,EV060,1,0,101,show_text,¿Qué quieres? Estoy trabajando.
map,92,,97,EV097,1,0,101,show_text,<b><ac>Ciudad Calentra</ac></b><ac>¡Una ciudad muy tranquila con playa!</ac><ac>
map,92,,134,EV134,1,0,108,comment,noshadow
map,92,,42,,1,3,355,script,"pbRemoveDependency2(""FollowerPkmn"")"
map,92,,79,EV079,1,0,101,show_text,Estoy entrenando para poder luchar contra el líder de esta ciudad.
map,92,,79,EV079,1,2,101,show_text,"No me molestes, por favor."
map,92,,116,EV116,1,0,108,comment,noshadow
map,92,,24,EV024,1,4,355,script,"pbRemoveDependency2(""FollowerPkmn"")"
map,92,,61,EV061,1,0,101,show_text,Qué agotador tener que trabajar para la \c[2]Familia Real\c[0]...
map,92,,135,EV135,1,0,108,comment,noshadow
map,92,,43,,1,3,355,script,"pbRemoveDependency2(""FollowerPkmn"")"
map,92,,80,EV080,1,0,101,show_text,"Estudié para ser abogado. Exactamente, el que tengo aquí colgado."
map,92,,117,EV117,1,0,108,comment,noshadow
map,92,,25,evento playa,1,8,101,show_text,"\dxn[???]Muy bien Sawk, es hora de comprobar si eres capaz de usar nuestro movimiento clave."
map,92,,25,evento playa,1,14,101,show_text,\f[Sawk]¡SAAAAWK!
map,92,,25,evento playa,1,17,101,show_text,"\dxn[???]Primero lo haré yo, fíjate bien en la posición. Controla tu alma, respira profundamente... y cuando tu energía llegue a tus puños..."
map,92,,25,evento playa,1,21,101,show_text,\sh\dxn[???]¡PALMEO!
map,92,,25,evento playa,1,48,101,show_text,"\dxn[???]Este movimiento es esencial para un luchador cuerpo a cuerpo, destruyes al rival desde dentro hasta el punto de paralizar su cuerpo. No es un golpe"
map,92,,25,evento playa,1,49,401,show_text_cont,"simple, es un choque de energía."
map,92,,25,evento playa,1,58,101,show_text,"\dxn[???]Es tu turno, demuéstrame lo mucho que has mejorado."
map,92,,25,evento playa,1,67,101,show_text,\f[Sawk]¡SAAAAWK!
map,92,,25,evento playa,1,90,101,show_text,\f[ditto000]¡DITTO!
map,92,,25,evento playa,1,115,101,show_text,\dxn[???]¡¿Cómo?! ¡¿Se puede saber de dónde ha salido este Ditto?!
map,92,,25,evento playa,1,119,101,show_text,\sh\dxn[Rodolfo]¡Ey! ¿Qué estáis haciendo con mi Ditto? ¡Mocosos!
map,92,,25,evento playa,1,129,101,show_text,\dxn[Rodolfo]¿No os da vergüenza tratar así a un Pokémon?
map,92,,25,evento playa,1,135,101,show_text,\dxn[???]Espera... ¿Me acaba de llamar mocoso un crío?
map,92,,25,evento playa,1,149,101,show_text,\wtnp[0]\dxn[???]¡Vuelve Sawk!\wt[10]
map,92,,25,evento playa,1,155,101,show_text,"\wtnp[0]\dxn[Rodolfo]¡Ditto, ven tú también!\wt[10]"
map,92,,25,evento playa,1,172,101,show_text,\dxn[Rodolfo]¿Cómo te atreves a golpear a mi Pokémon?
map,92,,25,evento playa,1,176,101,show_text,\dxn[???]Esto... Fue sin querer.
map,92,,25,evento playa,1,180,101,show_text,"\dxn[???]Sawk y yo estábamos entrenando, no sabíamos que esa roca era tu Ditto."
map,92,,25,evento playa,1,185,101,show_text,\dxn[???]De hecho... ¿Se puede saber cómo llegó a la roca en medio del mar?
