story_index,map_id,order,parent_id,map_name
1,22,10,0,Intro real
2,42,3,32,Your home
3,32,1,0,Sparrow Town
4,76,4,32,Laboratory
5,78,11,0,Route 1
6,79,12,0,Linnet Town
7,80,15,0,Route 2
8,83,17,0,Finch Town
9,88,23,0,Route 3
10,90,25,0,Route 4
11,92,27,0,Calentra City
12,43,2,32,Sparrow School
13,48,5,32,Alama's House
14,126,6,32,Darek's House
15,159,7,32,Eda's House
16,340,8,32,Sparrow Beach
17,342,9,340,Sparrow Beach - Houses
18,138,13,79,Linnet Town
19,81,14,79,Linnet Town
20,98,16,80,Route 2 
21,86,18,83,Finch Town - Cafetería
22,82,19,83,Gate 1
23,85,20,83,Gate 2
24,128,21,83,Finch Town
25,84,22,83,Finch Town
26,89,24,0,Finch cave
27,130,26,90,Route 4 
28,94,28,92,Calentra City - Gym
29,96,29,92,Calentra City - Gym
30,97,30,92,Calentra City - Gym
31,95,31,92,Calentra City - Gym
32,91,32,92,Gate 3
33,99,33,92,Gate 4
34,110,34,92,Gate 5
35,135,35,92,Calentra City
36,93,36,92,Calentra City
37,101,37,0,Greenfinch Forest
38,102,38,0,Greenfinch Forest
39,103,39,0,Greenfinch City
40,104,40,103,Greenfinch City - Gym
41,105,41,103,Greenfinch City - Gym
42,106,42,103,Greenfinch City - Gym
43,108,43,103,Greenfinch City (Silvano home)
44,109,44,103,Gate 6
45,132,45,103,Greenfinch City
46,133,46,103,Gate 7
47,107,47,103,Greenfinch City
48,111,48,0,Route 6
49,112,49,0,Rute 6 (North)
50,137,50,112,Route 6 (North)
51,113,51,112,Gate 8
52,114,52,0,Route 6 (South)
53,123,53,114,Route 6 (South)
54,115,54,0,Relic Cave (P0)
55,116,55,0,Relic Cave (P1)
56,117,56,0,Relic Cave (P2)
57,118,57,0,Relic Cave (P-1)
58,124,58,118,Relic Cave (P-1)
59,119,59,0,Relic Cave (P-2)
60,120,60,0,Goldfinch Town
61,134,61,120,Goldfinch Town
62,121,62,0,Goldfinch Viewpoint
63,122,63,0,Mountain of Wisdom
64,125,64,0,Route 7
65,131,65,0,Route 8
66,140,66,0,Nymph city
67,139,67,140,Gate 9
68,142,68,140,Nymph city 
69,143,69,140,Nymph city - ice cream shop
70,144,70,140,Nymph city - cafeteria
71,145,71,140,Nymph city
72,147,72,140,Mysterious cave
73,148,73,140,Mysterious cave
74,146,74,140,Gate 10
75,149,75,0,Route 9
76,151,76,149,Algorithm Cave
77,152,77,149,Algorithm Cave
78,158,78,149,Algorithm Cave
79,150,79,0,Route 10
80,127,80,0,???
81,160,81,0,Cardinal City (West)
82,163,82,160,Cardinal City 
83,161,83,160,Spinda Cafe
84,162,84,160,Cardinal City (West)
85,164,85,160,Gate 11
86,165,86,0,Cardinal City (Center)
87,166,87,165,Cardinal City (Center)
88,167,88,165,Cardinal City - Ice Cream Parlor
89,168,89,165,Cardinal City - Jewelry
90,169,90,165,Cardinal City - Marinas house
91,170,91,165,Cardinal City - Pizzeria
92,172,92,165,Cardinal City - Bar
93,87,93,172,Cardinal City (South)
94,183,94,165,Hotel MiraMar
95,184,95,183,Hotel MiraMar(P1)
96,188,96,184,Hotel MiraMar(P1)
97,185,97,183,Hotel MiraMar(P2)
98,186,98,185,Hotel MiraMar(P2)
99,195,99,186,Eda dream
100,196,100,195,Dream Garden
101,171,101,0,Cardinal City (South)
102,173,102,171,Cardinal Museum
103,174,103,171,Cardinal City (South)
104,201,104,171,Cardinal Church
105,175,105,0,Cardinal City (East)
106,176,106,175,Cardinal City (East)
107,177,107,175,Cardinal City - Library
108,178,108,177,Cardinal City - Library (P1)
109,187,109,175,Cardinal Aquarium
110,189,110,187,Cardinal Aquarium
111,190,111,187,Cardinal Aquarium
112,192,112,175,Cardinal City - Gym
113,193,113,192,Cardinal City - Gym
114,191,114,192,Cardinal City - Gym
115,200,115,175,Latias Restaurant
116,599,116,175,Cardinal City 
117,179,117,0,Cardinal City (North)
118,180,118,179,Cardinal City (North)
119,181,119,179,Cardinal City (North)
120,199,120,179,Latios restaurant
121,77,121,179,Cardinal City (North)
122,182,122,0,Dream Garden
123,202,123,182,Cardinal City - Ice Cream
124,194,124,0,Dream Garden
125,197,125,194,Dream Garden
126,198,126,0,Jail???
127,203,127,0,Symphony of the Seas
128,204,128,203,Symphony of the Seas
129,205,129,203,Symphony of the Seas
130,206,130,0,Tucan Town
131,207,131,206,Gate 12
132,331,132,206,Tucan Town
133,334,133,206,Pokémon Center - Toucan Town
134,208,134,0,Route 11
135,210,135,0,Route 12
136,209,136,210,Forest of Time
137,211,137,0,Forbe City
138,219,138,211,Forbe City
139,220,139,211,Forbe City 
140,221,140,211,Gate 13
141,214,141,211,Gate 14
142,222,142,211,Forbe Pastry Shop
143,215,143,0,Forbe City
144,218,144,215,Forbe City
145,225,145,215,Forbe City - Sakura's House
146,230,146,215,Forbe City - Gym
147,229,147,230,Forbe City - Gym
148,213,148,0,Sanctuary of music
149,216,149,213,Sanctuary of music
150,231,150,216,Sanctuary of music
151,237,151,216,Forbe City - Sakura's House
152,232,152,237,Forbe City
153,212,153,0,Route 13
154,238,154,212,Mystic Cave
155,217,155,0,Route 14
156,234,156,0,Akebia Prison
157,251,157,234,Akebia Prison
158,250,158,234,Akebia Prison (P-1)
159,239,159,234,Akebia Prison (P-2)
160,235,160,234,Akebia Prison (P-3)
161,236,161,235,Akebia Prison (P-3)
162,341,162,236,Royal Palace
163,253,163,235,Akebia Prison (P-3)
164,240,164,234,Akebia Prison (P-4)
165,241,165,240,Akebia Prison (P-4)
166,254,166,241,Akebia Prison (P-4)
167,242,167,234,Akebia Prison (P-5)
168,243,168,242,Akebia Prison (P-5)
169,255,169,234,Akebia Prison (P-5)
170,252,170,234,Jail Elevator
171,244,171,0,Pueblo Ruiseñor
172,245,172,244,Gate 15
173,246,173,244,Pueblo Ruiseñor 
174,247,174,244,Gate 16
175,248,175,244,Bar Stones
176,296,176,244,Pueblo Ruiseñor 
177,338,177,244,Guardería
178,249,178,0,Lost Forest
179,256,179,249,Lost Forest
180,257,180,0,Route 15
181,332,181,257,House - Route 15
182,223,182,0,Forest of Memories
183,224,183,223,Forest of Memories
184,226,184,223,Pueblo Ruiseñor
185,227,185,223,School
186,228,186,0,Blackbird Town
187,259,187,228,Gate 17
188,260,188,228,Blackbird Town
189,261,189,228,Pokémon Center
190,292,190,228,Blackbird Town
191,270,191,228,Blackbird Town Gym 
192,271,192,270,Blackbird Town Gym Heal
193,272,193,270,Blackbird Town Gym Fight
194,273,194,270,Blackbird Town Gym Bow
195,274,195,270,Blackbird Town Gym Bow
196,275,196,270,Blackbird Town Gym Bow
197,276,197,270,Blackbird Town Gym Bow
198,277,198,270,Blackbird Town Gym Bow
199,278,199,270,Blackbird Town Gym Final
200,262,200,0,Celestial Tower
201,258,201,262,Celestial Tower (P0)
202,264,202,262,Celestial Tower (P1)
203,265,203,262,Celestial Tower (P2)
204,266,204,262,Celestial Tower (P3)
205,267,205,262,Celestial Tower (P4)
206,268,206,262,Celestial Tower (P5)
207,263,207,262,Celestial Tower (P-1)
208,269,208,262,Celestial Tower Top
209,279,209,0,Lugano City
210,280,210,279,Ciudad Lugano (Bar)
211,281,211,280,Bosque Perdido
212,282,212,0,???
213,283,213,0,Jungla Camachuelo
214,284,214,283,Jungla Camachuelo
215,286,215,284,Jungla Camachuelo
216,333,216,284,Casa - Jungla Camachuelo
217,285,217,0,Aldea Camachuelo
218,294,218,285,Aldea Camachuelo 
219,295,219,285,Aldea Camachuelo 
220,666,220,295,Aldea Camachuelo 
221,670,221,666,Aldea Camachuelo
222,293,222,285,Cueva Sagrada
223,287,223,293,Cueva Sagrada
224,288,224,293,Cueva Sagrada
225,289,225,293,Cueva Sagrada
226,290,226,293,Cueva Sagrada
227,291,227,293,Cueva Sagrada
228,298,228,0,Zona Tué-Tué
229,297,229,298,Selva Tué-Tué
230,327,230,297,Selva Tué-Tué
231,328,231,327,Selva Tué-Tué
232,299,232,298,Selva Tué-Tué 
233,300,233,299,Selva Tué-Tué
234,301,234,300,Jungla Camachuelo
235,302,235,301,???
236,303,236,302,Aldea Camachuelo
237,305,237,303,Aldea Camachuelo
238,671,238,300,Cueva Legendaria
239,304,239,298,Villa Tué-Tué
240,306,240,304,Selva Tué-Tué
241,307,241,306,Selva Tué-Tué 
242,308,242,307,Selva Tué-Tué
243,309,243,308,Aldea Camachuelo
244,310,244,309,Villa Tué-Tué
245,311,245,298,Villa Tué-Tué
246,312,246,311,Villa Tué-Tué
247,313,247,312,Villa Tué-Tué
248,667,248,313,Villa Tué-Tué
249,668,249,313,Villa Tué-Tué
250,314,250,0,Ladera Tué-Tué
251,315,251,0,Cima Tué-Tué
252,669,252,315,Cima Tué-Tué
253,316,253,0,Cinemática
254,317,254,316,Cinemática
255,318,255,317,Cinemática
256,319,256,318,Selva Tué-Tué
257,320,257,319,Cima Tué-Tué
258,321,258,320,Selva Tué-Tué
259,322,259,321,Cima Tué-Tué
260,323,260,322,Villa Tué-Tué
261,324,261,323,Aldea Camachuelo
