source_type,source_id,source_name,event_id,event_name,page,command_index,code,kind,text,story_index,draft_id,draft_status
common_event,1,Professor Oak phone,,,,0,101,show_text,......\wt[5] ......,0,......\wt[5] ......,machine_draft
common_event,1,Professor Oak phone,,,,2,101,show_text,"Hello, \PN!\nI can see you calling me over there!",0,"Halo, \PN!\nI dapat melihat Anda menelepon saya di sana!",machine_draft
common_event,1,Professor Oak phone,,,,3,101,show_text,Come over and talk to me.,0,Datang dan bicara padaku.,machine_draft
common_event,1,Professor Oak phone,,,,7,101,show_text,"Hello, this is Professor Oak...\nOh, hello, \PN!",0,"Halo, ini Profesor Oak...\nOh, halo, \PN!",machine_draft
common_event,1,Professor Oak phone,,,,8,101,show_text,"So, how's your Pokédex coming along?",0,"Jadi, bagaimana kabar Pokédex-mu?",machine_draft
common_event,1,Professor Oak phone,,,,9,102,choices,Evaluate Pokédex,0,Evaluasi Pokédex,machine_draft
common_event,1,Professor Oak phone,,,,9,102,choices,Quit,0,Berhenti,machine_draft
common_event,1,Professor Oak phone,,,,10,402,choice_branch,Evaluate Pokédex,0,Evaluasi Pokédex,machine_draft
common_event,1,Professor Oak phone,,,,11,355,script,"pbSet(1,$Trainer.pokedex.seen_count)",0,,skip_script
common_event,1,Professor Oak phone,,,,12,655,script_cont,"pbSet(2,$Trainer.pokedex.owned_count)",0,,skip_script
common_event,1,Professor Oak phone,,,,13,101,show_text,"Hmm, let's see..\nYou've seen \v[1] Pokémon, and",0,"Hmm, mari kita lihat..\nYou pernah melihat \v[1] Pokémon, dan",machine_draft
common_event,1,Professor Oak phone,,,,14,401,show_text_cont,\nyou've caught \v[2] Pokémon!\nI see!,0,\nyou telah menangkap \v[2] Pokémon!\nI lihat!,machine_draft
common_event,1,Professor Oak phone,,,,16,101,show_text,"Hmm, you still have a long journey ahead of you!",0,"Hmm, perjalananmu masih panjang!",machine_draft
common_event,1,Professor Oak phone,,,,17,401,show_text_cont,\nKeep on going!,0,\nKeep sedang berjalan!,machine_draft
common_event,1,Professor Oak phone,,,,22,101,show_text,"Hmm, you're catching Pokémon at a decent pace!",0,"Hmm, Anda menangkap Pokémon dengan kecepatan yang baik!",machine_draft
common_event,1,Professor Oak phone,,,,27,101,show_text,"You've caught a lot of Pokémon, but make sure you're",0,"Anda telah menangkap banyak Pokémon, tetapi pastikan Anda menangkapnya",machine_draft
common_event,1,Professor Oak phone,,,,28,401,show_text_cont,raising them carefully!,0,membesarkan mereka dengan hati-hati!,machine_draft
common_event,1,Professor Oak phone,,,,33,101,show_text,I didn't even know that many Pokémon existed!,0,Saya bahkan tidak tahu kalau ada banyak Pokemon!,machine_draft
common_event,1,Professor Oak phone,,,,38,101,show_text,Show me your Pokédex again anytime!,0,Tunjukkan Pokédexmu lagi kapan saja!,machine_draft
common_event,1,Professor Oak phone,,,,40,402,choice_branch,Quit,0,Berhenti,machine_draft
common_event,1,Professor Oak phone,,,,41,101,show_text,Show me your Pokédex anytime!,0,Tunjukkan Pokédex-mu kapan saja!,machine_draft
common_event,1,Professor Oak phone,,,,45,101,show_text,Click!\wt[10]\n......\wt[5] ......,0,Klik!\wt[10]\n......\wt[5] ......,machine_draft
